comentario,nota,responsavel,comentario_normalizado
As notificações chegaram atrasadas. Tentei atualizar cadastro e chat travou duas vezes.,1,Pós-venda,as notificacoes chegaram atrasadas tentei atualizar cadastro e chat travou duas vezes
As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. bugou,10,Geral,as notificacoes chegaram atrasadas recebi erro enquanto tentava acompanhar pagamento o atendimento resolveu rapido a solicitacao o suporte pediu novamente as mesmas informacoes bugou
"O carregamento dos relatórios demorou. cartão virtual demorou para responder. Consegui consultar limite, mas depois apareceu erro em extrato. Depois da atualização cartão virtual ficou mais simples.",8,Geral,o carregamento dos relatorios demorou cartao virtual demorou para responder consegui consultar limite mas depois apareceu erro em extrato depois da atualizacao cartao virtual ficou mais simples
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em cartão virtual. As notificações chegaram atrasadas. Depois da atualização pagamentos ficou mais simples.",2,Produto,o suporte pediu novamente as mesmas informacoes consegui consultar saldo mas depois apareceu erro em cartao virtual as notificacoes chegaram atrasadas depois da atualizacao pagamentos ficou mais simples
Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. travano,7,Serviços,recebi erro enquanto tentava baixar relatorio o suporte pediu novamente as mesmas informacoes o atendimento resolveu rapido a solicitacao travano
Recebi erro enquanto tentava baixar relatório. Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir.,3,Suporte,recebi erro enquanto tentava baixar relatorio depois da atualizacao login ficou mais simples as notificacoes chegaram atrasadas o atendimento resolveu rapido a solicitacao o suporte pediu novamente as mesmas informacoes precisei repetir algumas etapas para concluir
"As notificações chegaram atrasadas. Consegui consultar saldo, mas depois apareceu erro em performance. naum platafroma qdo",6,Produto,as notificacoes chegaram atrasadas consegui consultar saldo mas depois apareceu erro em performance naum platafroma qdo
Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. O suporte pediu novamente as mesmas informações.,1,Produto,precisei repetir algumas etapas para concluir o carregamento dos relatorios demorou as notificacoes chegaram atrasadas depois da atualizacao integracao ficou mais simples o suporte pediu novamente as mesmas informacoes
"Depois da atualização integração ficou mais simples. Consegui atualizar cadastro, mas depois apareceu erro em notificações. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei atualizar cadastro e integração travou duas vezes. integração demorou para responder. atendimnto naum",7,Suporte,depois da atualizacao integracao ficou mais simples consegui atualizar cadastro mas depois apareceu erro em notificacoes o suporte pediu novamente as mesmas informacoes o carregamento dos relatorios demorou tentei atualizar cadastro e integracao travou duas vezes integracao demorou para responder atendimnto naum
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. sitema qdo,2,Suporte,as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir sitema qdo
"As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. Tentei consultar saldo e integração travou duas vezes. integração demorou para responder. Precisei repetir algumas etapas para concluir. Consegui consultar saldo, mas depois apareceu erro em chat.",6,Suporte,as notificacoes chegaram atrasadas depois da atualizacao integracao ficou mais simples tentei consultar saldo e integracao travou duas vezes integracao demorou para responder precisei repetir algumas etapas para concluir consegui consultar saldo mas depois apareceu erro em chat
"Consegui acompanhar pagamento, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Tentei acompanhar pagamento e performance travou duas vezes. travano sitema msg",6,Pós-venda,consegui acompanhar pagamento mas depois apareceu erro em relatorios o suporte pediu novamente as mesmas informacoes as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir tentei acompanhar pagamento e performance travou duas vezes travano sitema msg
"Precisei repetir algumas etapas para concluir. Tentei consultar limite e relatórios travou duas vezes. Recebi erro enquanto tentava consultar limite. O atendimento resolveu rápido a solicitação. Consegui consultar limite, mas depois apareceu erro em login. Depois da atualização relatórios ficou mais simples.",2,Geral,precisei repetir algumas etapas para concluir tentei consultar limite e relatorios travou duas vezes recebi erro enquanto tentava consultar limite o atendimento resolveu rapido a solicitacao consegui consultar limite mas depois apareceu erro em login depois da atualizacao relatorios ficou mais simples
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. notificações demorou para responder.,4,Suporte,as notificacoes chegaram atrasadas o suporte pediu novamente as mesmas informacoes precisei repetir algumas etapas para concluir notificacoes demorou para responder
Achei estranho.,8,Produto,achei estranho
"Consegui consultar saldo, mas depois apareceu erro em login. Tentei consultar saldo e cadastro travou duas vezes. cadastro demorou para responder. travano vcs",1,Suporte,consegui consultar saldo mas depois apareceu erro em login tentei consultar saldo e cadastro travou duas vezes cadastro demorou para responder travano vcs
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava integrar sistema. pagamentos demorou para responder.,3,Produto,precisei repetir algumas etapas para concluir recebi erro enquanto tentava integrar sistema pagamentos demorou para responder
"Consegui consultar limite, mas depois apareceu erro em cadastro. Recebi erro enquanto tentava consultar limite. Precisei repetir algumas etapas para concluir. Tentei consultar limite e chat travou duas vezes. O atendimento resolveu rápido a solicitação.",0,Suporte,consegui consultar limite mas depois apareceu erro em cadastro recebi erro enquanto tentava consultar limite precisei repetir algumas etapas para concluir tentei consultar limite e chat travou duas vezes o atendimento resolveu rapido a solicitacao
O carregamento dos relatórios demorou. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Tentei consultar saldo e integração travou duas vezes.,9,Geral,o carregamento dos relatorios demorou as notificacoes chegaram atrasadas o atendimento resolveu rapido a solicitacao tentei consultar saldo e integracao travou duas vezes
dashboard demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,6,Produto,dashboard demorou para responder as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir o atendimento resolveu rapido a solicitacao o suporte pediu novamente as mesmas informacoes
"Consegui atualizar cadastro, mas depois apareceu erro em cartão virtual. Recebi erro enquanto tentava atualizar cadastro. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. demoro bugou",8,Suporte,consegui atualizar cadastro mas depois apareceu erro em cartao virtual recebi erro enquanto tentava atualizar cadastro o suporte pediu novamente as mesmas informacoes precisei repetir algumas etapas para concluir demoro bugou
Achei estranho.,5,Serviços,achei estranho
O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei atualizar cadastro e pagamentos travou duas vezes. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava atualizar cadastro. Depois da atualização pagamentos ficou mais simples. platafroma naum,3,Suporte,o suporte pediu novamente as mesmas informacoes o carregamento dos relatorios demorou tentei atualizar cadastro e pagamentos travou duas vezes precisei repetir algumas etapas para concluir recebi erro enquanto tentava atualizar cadastro depois da atualizacao pagamentos ficou mais simples platafroma naum
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em usabilidade.",7,Serviços,o suporte pediu novamente as mesmas informacoes consegui consultar saldo mas depois apareceu erro em usabilidade
"O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Depois da atualização limite ficou mais simples. Consegui integrar sistema, mas depois apareceu erro em relatórios. probelma vcs",10,Suporte,o carregamento dos relatorios demorou o atendimento resolveu rapido a solicitacao precisei repetir algumas etapas para concluir depois da atualizacao limite ficou mais simples consegui integrar sistema mas depois apareceu erro em relatorios probelma vcs
"Consegui fazer transferência, mas depois apareceu erro em integração. Depois da atualização relatórios ficou mais simples. O suporte pediu novamente as mesmas informações.",5,Serviços,consegui fazer transferencia mas depois apareceu erro em integracao depois da atualizacao relatorios ficou mais simples o suporte pediu novamente as mesmas informacoes
"Consegui acompanhar pagamento, mas depois apareceu erro em onboarding. O atendimento resolveu rápido a solicitação. dashboard demorou para responder. Depois da atualização dashboard ficou mais simples. msg ploblema qdo",8,Pós-venda,consegui acompanhar pagamento mas depois apareceu erro em onboarding o atendimento resolveu rapido a solicitacao dashboard demorou para responder depois da atualizacao dashboard ficou mais simples msg ploblema qdo
Tentei baixar relatório e API travou duas vezes. O suporte pediu novamente as mesmas informações.,8,Pós-venda,tentei baixar relatorio e api travou duas vezes o suporte pediu novamente as mesmas informacoes
Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas.,2,Produto,recebi erro enquanto tentava baixar relatorio as notificacoes chegaram atrasadas
Sem comentários.,10,Produto,sem comentarios
Nada a declarar.,4,Geral,nada a declarar
"As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. O carregamento dos relatórios demorou. integração demorou para responder. O suporte pediu novamente as mesmas informações. Consegui acompanhar pagamento, mas depois apareceu erro em chat. qdo demoro vcs",6,Suporte,as notificacoes chegaram atrasadas depois da atualizacao integracao ficou mais simples o carregamento dos relatorios demorou integracao demorou para responder o suporte pediu novamente as mesmas informacoes consegui acompanhar pagamento mas depois apareceu erro em chat qdo demoro vcs
"Consegui emitir boleto, mas depois apareceu erro em cadastro. pagamentos demorou para responder. Recebi erro enquanto tentava emitir boleto. platafroma demoro",3,Pós-venda,consegui emitir boleto mas depois apareceu erro em cadastro pagamentos demorou para responder recebi erro enquanto tentava emitir boleto platafroma demoro
"Consegui baixar relatório, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações.",0,Produto,consegui baixar relatorio mas depois apareceu erro em pagamentos o suporte pediu novamente as mesmas informacoes
"Consegui emitir boleto, mas depois apareceu erro em cartão virtual. notificações demorou para responder. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e notificações travou duas vezes. demoro bugou",10,Serviços,consegui emitir boleto mas depois apareceu erro em cartao virtual notificacoes demorou para responder o suporte pediu novamente as mesmas informacoes as notificacoes chegaram atrasadas recebi erro enquanto tentava emitir boleto tentei emitir boleto e notificacoes travou duas vezes demoro bugou
"O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Depois da atualização performance ficou mais simples. Consegui consultar limite, mas depois apareceu erro em pagamentos. sitema",7,Pós-venda,o carregamento dos relatorios demorou precisei repetir algumas etapas para concluir depois da atualizacao performance ficou mais simples consegui consultar limite mas depois apareceu erro em pagamentos sitema
"Precisei repetir algumas etapas para concluir. Tentei consultar saldo e dashboard travou duas vezes. dashboard demorou para responder. Consegui consultar saldo, mas depois apareceu erro em notificações.",9,Serviços,precisei repetir algumas etapas para concluir tentei consultar saldo e dashboard travou duas vezes dashboard demorou para responder consegui consultar saldo mas depois apareceu erro em notificacoes
Depois da atualização chat ficou mais simples. O atendimento resolveu rápido a solicitação.,4,Produto,depois da atualizacao chat ficou mais simples o atendimento resolveu rapido a solicitacao
"As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei baixar relatório e extrato travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em cartão virtual. atendimnto vcs",1,Produto,as notificacoes chegaram atrasadas o carregamento dos relatorios demorou tentei baixar relatorio e extrato travou duas vezes consegui baixar relatorio mas depois apareceu erro em cartao virtual atendimnto vcs
"Tentei baixar relatório e onboarding travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em login. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.",6,Pós-venda,tentei baixar relatorio e onboarding travou duas vezes consegui baixar relatorio mas depois apareceu erro em login o atendimento resolveu rapido a solicitacao o suporte pediu novamente as mesmas informacoes o carregamento dos relatorios demorou
"Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e API travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em pagamentos. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. naum",3,Serviços,recebi erro enquanto tentava baixar relatorio tentei baixar relatorio e api travou duas vezes consegui baixar relatorio mas depois apareceu erro em pagamentos o atendimento resolveu rapido a solicitacao precisei repetir algumas etapas para concluir naum
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples.,3,Produto,usabilidade demorou para responder depois da atualizacao usabilidade ficou mais simples
O carregamento dos relatórios demorou. limite demorou para responder. As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O suporte pediu novamente as mesmas informações.,4,Suporte,o carregamento dos relatorios demorou limite demorou para responder as notificacoes chegaram atrasadas recebi erro enquanto tentava acompanhar pagamento o suporte pediu novamente as mesmas informacoes
O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Tentei consultar limite e integração travou duas vezes. integração demorou para responder.,1,Geral,o carregamento dos relatorios demorou o suporte pediu novamente as mesmas informacoes tentei consultar limite e integracao travou duas vezes integracao demorou para responder
O carregamento dos relatórios demorou. Depois da atualização limite ficou mais simples. O atendimento resolveu rápido a solicitação. limite demorou para responder. O suporte pediu novamente as mesmas informações.,9,Geral,o carregamento dos relatorios demorou depois da atualizacao limite ficou mais simples o atendimento resolveu rapido a solicitacao limite demorou para responder o suporte pediu novamente as mesmas informacoes
As notificações chegaram atrasadas. Tentei consultar limite e performance travou duas vezes. O atendimento resolveu rápido a solicitação.,5,Produto,as notificacoes chegaram atrasadas tentei consultar limite e performance travou duas vezes o atendimento resolveu rapido a solicitacao
Tentei fazer transferência e cadastro travou duas vezes. cadastro demorou para responder. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,6,Serviços,tentei fazer transferencia e cadastro travou duas vezes cadastro demorou para responder o atendimento resolveu rapido a solicitacao as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir
login demorou para responder. Recebi erro enquanto tentava fazer transferência. Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. sitema travano vcs,8,Produto,login demorou para responder recebi erro enquanto tentava fazer transferencia depois da atualizacao login ficou mais simples as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir sitema travano vcs
"Tentei baixar relatório e cartão virtual travou duas vezes. Recebi erro enquanto tentava baixar relatório. Consegui baixar relatório, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. cartão virtual demorou para responder.",10,Geral,tentei baixar relatorio e cartao virtual travou duas vezes recebi erro enquanto tentava baixar relatorio consegui baixar relatorio mas depois apareceu erro em extrato o atendimento resolveu rapido a solicitacao as notificacoes chegaram atrasadas cartao virtual demorou para responder
integração demorou para responder. O suporte pediu novamente as mesmas informações. Tentei emitir boleto e integração travou duas vezes. Depois da atualização integração ficou mais simples. Precisei repetir algumas etapas para concluir.,6,Serviços,integracao demorou para responder o suporte pediu novamente as mesmas informacoes tentei emitir boleto e integracao travou duas vezes depois da atualizacao integracao ficou mais simples precisei repetir algumas etapas para concluir
"notificações demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Tentei consultar limite e notificações travou duas vezes. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em relatórios.",5,Suporte,notificacoes demorou para responder precisei repetir algumas etapas para concluir o carregamento dos relatorios demorou tentei consultar limite e notificacoes travou duas vezes o suporte pediu novamente as mesmas informacoes consegui consultar limite mas depois apareceu erro em relatorios
O suporte pediu novamente as mesmas informações. Tentei atualizar cadastro e limite travou duas vezes. Depois da atualização limite ficou mais simples. limite demorou para responder. O atendimento resolveu rápido a solicitação.,9,Suporte,o suporte pediu novamente as mesmas informacoes tentei atualizar cadastro e limite travou duas vezes depois da atualizacao limite ficou mais simples limite demorou para responder o atendimento resolveu rapido a solicitacao
"Depois da atualização pagamentos ficou mais simples. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em cadastro. Precisei repetir algumas etapas para concluir.",5,Suporte,depois da atualizacao pagamentos ficou mais simples o suporte pediu novamente as mesmas informacoes consegui consultar limite mas depois apareceu erro em cadastro precisei repetir algumas etapas para concluir
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. bugou qdo demoro,6,Suporte,as notificacoes chegaram atrasadas o suporte pediu novamente as mesmas informacoes bugou qdo demoro
"Consegui integrar sistema, mas depois apareceu erro em chat. O suporte pediu novamente as mesmas informações. notificações demorou para responder.",4,Serviços,consegui integrar sistema mas depois apareceu erro em chat o suporte pediu novamente as mesmas informacoes notificacoes demorou para responder
Sem opinião.,10,Geral,sem opiniao
"dashboard demorou para responder. Consegui integrar sistema, mas depois apareceu erro em pagamentos. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.",5,Suporte,dashboard demorou para responder consegui integrar sistema mas depois apareceu erro em pagamentos precisei repetir algumas etapas para concluir as notificacoes chegaram atrasadas o suporte pediu novamente as mesmas informacoes
