comentario,nota,responsavel,comentario_sem_stopwords
Tentei baixar relatório e onboarding travou duas vezes. Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas. Depois da atualização onboarding ficou mais simples. atendimnto,3,Serviços,tentei baixar relatorio onboarding travou duas vezes recebi erro enquanto tentava baixar relatorio notificacoes chegaram atrasadas atualizacao onboarding ficou simples atendimnto
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei baixar relatório e API travou duas vezes. Depois da atualização API ficou mais simples. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório.,10,Serviços,notificacoes chegaram atrasadas carregamento relatorios demorou tentei baixar relatorio api travou duas vezes atualizacao api ficou simples precisei repetir algumas etapas concluir recebi erro enquanto tentava baixar relatorio
O atendimento resolveu rápido a solicitação. Tentei consultar saldo e cartão virtual travou duas vezes. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo.,9,Geral,atendimento resolveu rapido solicitacao tentei consultar saldo cartao virtual travou duas vezes precisei repetir algumas etapas concluir recebi erro enquanto tentava consultar saldo
"usabilidade demorou para responder. Consegui consultar limite, mas depois apareceu erro em onboarding. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar limite. O carregamento dos relatórios demorou. atendimnto sitema probelma",5,Serviços,usabilidade demorou responder consegui consultar limite apareceu erro onboarding precisei repetir algumas etapas concluir notificacoes chegaram atrasadas recebi erro enquanto tentava consultar limite carregamento relatorios demorou atendimnto sitema probelma
"Consegui baixar relatório, mas depois apareceu erro em onboarding. Depois da atualização login ficou mais simples. O atendimento resolveu rápido a solicitação. probelma",1,Suporte,consegui baixar relatorio apareceu erro onboarding atualizacao login ficou simples atendimento resolveu rapido solicitacao probelma
O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,3,Suporte,atendimento resolveu rapido solicitacao carregamento relatorios demorou notificacoes chegaram atrasadas precisei repetir algumas etapas concluir
Recebi erro enquanto tentava atualizar cadastro. As notificações chegaram atrasadas. sitema demoro,0,Produto,recebi erro enquanto tentava atualizar cadastro notificacoes chegaram atrasadas sitema demoro
As notificações chegaram atrasadas. Tentei atualizar cadastro e chat travou duas vezes.,1,Pós-venda,notificacoes chegaram atrasadas tentei atualizar cadastro chat travou duas vezes
As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. bugou,10,Geral,notificacoes chegaram atrasadas recebi erro enquanto tentava acompanhar pagamento atendimento resolveu rapido solicitacao suporte pediu novamente mesmas informacoes bugou
"O carregamento dos relatórios demorou. cartão virtual demorou para responder. Consegui consultar limite, mas depois apareceu erro em extrato. Depois da atualização cartão virtual ficou mais simples.",8,Geral,carregamento relatorios demorou cartao virtual demorou responder consegui consultar limite apareceu erro extrato atualizacao cartao virtual ficou simples
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em cartão virtual. As notificações chegaram atrasadas. Depois da atualização pagamentos ficou mais simples.",2,Produto,suporte pediu novamente mesmas informacoes consegui consultar saldo apareceu erro cartao virtual notificacoes chegaram atrasadas atualizacao pagamentos ficou simples
Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. travano,7,Serviços,recebi erro enquanto tentava baixar relatorio suporte pediu novamente mesmas informacoes atendimento resolveu rapido solicitacao travano
Recebi erro enquanto tentava baixar relatório. Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir.,3,Suporte,recebi erro enquanto tentava baixar relatorio atualizacao login ficou simples notificacoes chegaram atrasadas atendimento resolveu rapido solicitacao suporte pediu novamente mesmas informacoes precisei repetir algumas etapas concluir
"As notificações chegaram atrasadas. Consegui consultar saldo, mas depois apareceu erro em performance. naum platafroma qdo",6,Produto,notificacoes chegaram atrasadas consegui consultar saldo apareceu erro performance naum platafroma qdo
Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. O suporte pediu novamente as mesmas informações.,1,Produto,precisei repetir algumas etapas concluir carregamento relatorios demorou notificacoes chegaram atrasadas atualizacao integracao ficou simples suporte pediu novamente mesmas informacoes
"Depois da atualização integração ficou mais simples. Consegui atualizar cadastro, mas depois apareceu erro em notificações. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei atualizar cadastro e integração travou duas vezes. integração demorou para responder. atendimnto naum",7,Suporte,atualizacao integracao ficou simples consegui atualizar cadastro apareceu erro notificacoes suporte pediu novamente mesmas informacoes carregamento relatorios demorou tentei atualizar cadastro integracao travou duas vezes integracao demorou responder atendimnto naum
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. sitema qdo,2,Suporte,notificacoes chegaram atrasadas precisei repetir algumas etapas concluir sitema qdo
"As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. Tentei consultar saldo e integração travou duas vezes. integração demorou para responder. Precisei repetir algumas etapas para concluir. Consegui consultar saldo, mas depois apareceu erro em chat.",6,Suporte,notificacoes chegaram atrasadas atualizacao integracao ficou simples tentei consultar saldo integracao travou duas vezes integracao demorou responder precisei repetir algumas etapas concluir consegui consultar saldo apareceu erro chat
"Consegui acompanhar pagamento, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Tentei acompanhar pagamento e performance travou duas vezes. travano sitema msg",6,Pós-venda,consegui acompanhar pagamento apareceu erro relatorios suporte pediu novamente mesmas informacoes notificacoes chegaram atrasadas precisei repetir algumas etapas concluir tentei acompanhar pagamento performance travou duas vezes travano sitema msg
"Precisei repetir algumas etapas para concluir. Tentei consultar limite e relatórios travou duas vezes. Recebi erro enquanto tentava consultar limite. O atendimento resolveu rápido a solicitação. Consegui consultar limite, mas depois apareceu erro em login. Depois da atualização relatórios ficou mais simples.",2,Geral,precisei repetir algumas etapas concluir tentei consultar limite relatorios travou duas vezes recebi erro enquanto tentava consultar limite atendimento resolveu rapido solicitacao consegui consultar limite apareceu erro login atualizacao relatorios ficou simples
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. notificações demorou para responder.,4,Suporte,notificacoes chegaram atrasadas suporte pediu novamente mesmas informacoes precisei repetir algumas etapas concluir notificacoes demorou responder
Achei estranho.,8,Produto,achei estranho
"Consegui consultar saldo, mas depois apareceu erro em login. Tentei consultar saldo e cadastro travou duas vezes. cadastro demorou para responder. travano vcs",1,Suporte,consegui consultar saldo apareceu erro login tentei consultar saldo cadastro travou duas vezes cadastro demorou responder travano vcs
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava integrar sistema. pagamentos demorou para responder.,3,Produto,precisei repetir algumas etapas concluir recebi erro enquanto tentava integrar pagamentos demorou responder
"Consegui consultar limite, mas depois apareceu erro em cadastro. Recebi erro enquanto tentava consultar limite. Precisei repetir algumas etapas para concluir. Tentei consultar limite e chat travou duas vezes. O atendimento resolveu rápido a solicitação.",0,Suporte,consegui consultar limite apareceu erro cadastro recebi erro enquanto tentava consultar limite precisei repetir algumas etapas concluir tentei consultar limite chat travou duas vezes atendimento resolveu rapido solicitacao
O carregamento dos relatórios demorou. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Tentei consultar saldo e integração travou duas vezes.,9,Geral,carregamento relatorios demorou notificacoes chegaram atrasadas atendimento resolveu rapido solicitacao tentei consultar saldo integracao travou duas vezes
dashboard demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,6,Produto,dashboard demorou responder notificacoes chegaram atrasadas precisei repetir algumas etapas concluir atendimento resolveu rapido solicitacao suporte pediu novamente mesmas informacoes
"Consegui atualizar cadastro, mas depois apareceu erro em cartão virtual. Recebi erro enquanto tentava atualizar cadastro. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. demoro bugou",8,Suporte,consegui atualizar cadastro apareceu erro cartao virtual recebi erro enquanto tentava atualizar cadastro suporte pediu novamente mesmas informacoes precisei repetir algumas etapas concluir demoro bugou
Achei estranho.,5,Serviços,achei estranho
O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei atualizar cadastro e pagamentos travou duas vezes. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava atualizar cadastro. Depois da atualização pagamentos ficou mais simples. platafroma naum,3,Suporte,suporte pediu novamente mesmas informacoes carregamento relatorios demorou tentei atualizar cadastro pagamentos travou duas vezes precisei repetir algumas etapas concluir recebi erro enquanto tentava atualizar cadastro atualizacao pagamentos ficou simples platafroma naum
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em usabilidade.",7,Serviços,suporte pediu novamente mesmas informacoes consegui consultar saldo apareceu erro usabilidade
"O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Depois da atualização limite ficou mais simples. Consegui integrar sistema, mas depois apareceu erro em relatórios. probelma vcs",10,Suporte,carregamento relatorios demorou atendimento resolveu rapido solicitacao precisei repetir algumas etapas concluir atualizacao limite ficou simples consegui integrar apareceu erro relatorios probelma vcs
"Consegui fazer transferência, mas depois apareceu erro em integração. Depois da atualização relatórios ficou mais simples. O suporte pediu novamente as mesmas informações.",5,Serviços,consegui fazer transferencia apareceu erro integracao atualizacao relatorios ficou simples suporte pediu novamente mesmas informacoes
"Consegui acompanhar pagamento, mas depois apareceu erro em onboarding. O atendimento resolveu rápido a solicitação. dashboard demorou para responder. Depois da atualização dashboard ficou mais simples. msg ploblema qdo",8,Pós-venda,consegui acompanhar pagamento apareceu erro onboarding atendimento resolveu rapido solicitacao dashboard demorou responder atualizacao dashboard ficou simples msg ploblema qdo
Tentei baixar relatório e API travou duas vezes. O suporte pediu novamente as mesmas informações.,8,Pós-venda,tentei baixar relatorio api travou duas vezes suporte pediu novamente mesmas informacoes
Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas.,2,Produto,recebi erro enquanto tentava baixar relatorio notificacoes chegaram atrasadas
Sem comentários.,10,Produto,comentarios
Nada a declarar.,4,Geral,nada declarar
"As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. O carregamento dos relatórios demorou. integração demorou para responder. O suporte pediu novamente as mesmas informações. Consegui acompanhar pagamento, mas depois apareceu erro em chat. qdo demoro vcs",6,Suporte,notificacoes chegaram atrasadas atualizacao integracao ficou simples carregamento relatorios demorou integracao demorou responder suporte pediu novamente mesmas informacoes consegui acompanhar pagamento apareceu erro chat qdo demoro vcs
"Consegui emitir boleto, mas depois apareceu erro em cadastro. pagamentos demorou para responder. Recebi erro enquanto tentava emitir boleto. platafroma demoro",3,Pós-venda,consegui emitir boleto apareceu erro cadastro pagamentos demorou responder recebi erro enquanto tentava emitir boleto platafroma demoro
"Consegui baixar relatório, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações.",0,Produto,consegui baixar relatorio apareceu erro pagamentos suporte pediu novamente mesmas informacoes
"Consegui emitir boleto, mas depois apareceu erro em cartão virtual. notificações demorou para responder. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e notificações travou duas vezes. demoro bugou",10,Serviços,consegui emitir boleto apareceu erro cartao virtual notificacoes demorou responder suporte pediu novamente mesmas informacoes notificacoes chegaram atrasadas recebi erro enquanto tentava emitir boleto tentei emitir boleto notificacoes travou duas vezes demoro bugou
"O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Depois da atualização performance ficou mais simples. Consegui consultar limite, mas depois apareceu erro em pagamentos. sitema",7,Pós-venda,carregamento relatorios demorou precisei repetir algumas etapas concluir atualizacao performance ficou simples consegui consultar limite apareceu erro pagamentos sitema
"Precisei repetir algumas etapas para concluir. Tentei consultar saldo e dashboard travou duas vezes. dashboard demorou para responder. Consegui consultar saldo, mas depois apareceu erro em notificações.",9,Serviços,precisei repetir algumas etapas concluir tentei consultar saldo dashboard travou duas vezes dashboard demorou responder consegui consultar saldo apareceu erro notificacoes
Depois da atualização chat ficou mais simples. O atendimento resolveu rápido a solicitação.,4,Produto,atualizacao chat ficou simples atendimento resolveu rapido solicitacao
"As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei baixar relatório e extrato travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em cartão virtual. atendimnto vcs",1,Produto,notificacoes chegaram atrasadas carregamento relatorios demorou tentei baixar relatorio extrato travou duas vezes consegui baixar relatorio apareceu erro cartao virtual atendimnto vcs
"Tentei baixar relatório e onboarding travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em login. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.",6,Pós-venda,tentei baixar relatorio onboarding travou duas vezes consegui baixar relatorio apareceu erro login atendimento resolveu rapido solicitacao suporte pediu novamente mesmas informacoes carregamento relatorios demorou
"Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e API travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em pagamentos. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. naum",3,Serviços,recebi erro enquanto tentava baixar relatorio tentei baixar relatorio api travou duas vezes consegui baixar relatorio apareceu erro pagamentos atendimento resolveu rapido solicitacao precisei repetir algumas etapas concluir naum
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples.,3,Produto,usabilidade demorou responder atualizacao usabilidade ficou simples
O carregamento dos relatórios demorou. limite demorou para responder. As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O suporte pediu novamente as mesmas informações.,4,Suporte,carregamento relatorios demorou limite demorou responder notificacoes chegaram atrasadas recebi erro enquanto tentava acompanhar pagamento suporte pediu novamente mesmas informacoes
O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Tentei consultar limite e integração travou duas vezes. integração demorou para responder.,1,Geral,carregamento relatorios demorou suporte pediu novamente mesmas informacoes tentei consultar limite integracao travou duas vezes integracao demorou responder
O carregamento dos relatórios demorou. Depois da atualização limite ficou mais simples. O atendimento resolveu rápido a solicitação. limite demorou para responder. O suporte pediu novamente as mesmas informações.,9,Geral,carregamento relatorios demorou atualizacao limite ficou simples atendimento resolveu rapido solicitacao limite demorou responder suporte pediu novamente mesmas informacoes
As notificações chegaram atrasadas. Tentei consultar limite e performance travou duas vezes. O atendimento resolveu rápido a solicitação.,5,Produto,notificacoes chegaram atrasadas tentei consultar limite performance travou duas vezes atendimento resolveu rapido solicitacao
Tentei fazer transferência e cadastro travou duas vezes. cadastro demorou para responder. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,6,Serviços,tentei fazer transferencia cadastro travou duas vezes cadastro demorou responder atendimento resolveu rapido solicitacao notificacoes chegaram atrasadas precisei repetir algumas etapas concluir
login demorou para responder. Recebi erro enquanto tentava fazer transferência. Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. sitema travano vcs,8,Produto,login demorou responder recebi erro enquanto tentava fazer transferencia atualizacao login ficou simples notificacoes chegaram atrasadas precisei repetir algumas etapas concluir sitema travano vcs
"Tentei baixar relatório e cartão virtual travou duas vezes. Recebi erro enquanto tentava baixar relatório. Consegui baixar relatório, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. cartão virtual demorou para responder.",10,Geral,tentei baixar relatorio cartao virtual travou duas vezes recebi erro enquanto tentava baixar relatorio consegui baixar relatorio apareceu erro extrato atendimento resolveu rapido solicitacao notificacoes chegaram atrasadas cartao virtual demorou responder
integração demorou para responder. O suporte pediu novamente as mesmas informações. Tentei emitir boleto e integração travou duas vezes. Depois da atualização integração ficou mais simples. Precisei repetir algumas etapas para concluir.,6,Serviços,integracao demorou responder suporte pediu novamente mesmas informacoes tentei emitir boleto integracao travou duas vezes atualizacao integracao ficou simples precisei repetir algumas etapas concluir
"notificações demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Tentei consultar limite e notificações travou duas vezes. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em relatórios.",5,Suporte,notificacoes demorou responder precisei repetir algumas etapas concluir carregamento relatorios demorou tentei consultar limite notificacoes travou duas vezes suporte pediu novamente mesmas informacoes consegui consultar limite apareceu erro relatorios
O suporte pediu novamente as mesmas informações. Tentei atualizar cadastro e limite travou duas vezes. Depois da atualização limite ficou mais simples. limite demorou para responder. O atendimento resolveu rápido a solicitação.,9,Suporte,suporte pediu novamente mesmas informacoes tentei atualizar cadastro limite travou duas vezes atualizacao limite ficou simples limite demorou responder atendimento resolveu rapido solicitacao
"Depois da atualização pagamentos ficou mais simples. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em cadastro. Precisei repetir algumas etapas para concluir.",5,Suporte,atualizacao pagamentos ficou simples suporte pediu novamente mesmas informacoes consegui consultar limite apareceu erro cadastro precisei repetir algumas etapas concluir
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. bugou qdo demoro,6,Suporte,notificacoes chegaram atrasadas suporte pediu novamente mesmas informacoes bugou qdo demoro
"Consegui integrar sistema, mas depois apareceu erro em chat. O suporte pediu novamente as mesmas informações. notificações demorou para responder.",4,Serviços,consegui integrar apareceu erro chat suporte pediu novamente mesmas informacoes notificacoes demorou responder
Sem opinião.,10,Geral,opiniao
"dashboard demorou para responder. Consegui integrar sistema, mas depois apareceu erro em pagamentos. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.",5,Suporte,dashboard demorou responder consegui integrar apareceu erro pagamentos precisei repetir algumas etapas concluir notificacoes chegaram atrasadas suporte pediu novamente mesmas informacoes
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava atualizar cadastro. Consegui atualizar cadastro, mas depois apareceu erro em API. Tentei atualizar cadastro e onboarding travou duas vezes. travano",8,Produto,suporte pediu novamente mesmas informacoes atendimento resolveu rapido solicitacao recebi erro enquanto tentava atualizar cadastro consegui atualizar cadastro apareceu erro api tentei atualizar cadastro onboarding travou duas vezes travano
As notificações chegaram atrasadas. Tentei integrar sistema e integração travou duas vezes. platafroma,6,Serviços,notificacoes chegaram atrasadas tentei integrar integracao travou duas vezes platafroma
"Consegui integrar sistema, mas depois apareceu erro em onboarding. Depois da atualização cartão virtual ficou mais simples. atendimnto demoro probelma",10,Produto,consegui integrar apareceu erro onboarding atualizacao cartao virtual ficou simples atendimnto demoro probelma
Recebi erro enquanto tentava atualizar cadastro. usabilidade demorou para responder. Tentei atualizar cadastro e usabilidade travou duas vezes. Depois da atualização usabilidade ficou mais simples. O carregamento dos relatórios demorou.,10,Serviços,recebi erro enquanto tentava atualizar cadastro usabilidade demorou responder tentei atualizar cadastro usabilidade travou duas vezes atualizacao usabilidade ficou simples carregamento relatorios demorou
"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. API demorou para responder. Consegui baixar relatório, mas depois apareceu erro em cartão virtual.",3,Suporte,carregamento relatorios demorou notificacoes chegaram atrasadas api demorou responder consegui baixar relatorio apareceu erro cartao virtual
"Depois da atualização pagamentos ficou mais simples. Precisei repetir algumas etapas para concluir. Consegui integrar sistema, mas depois apareceu erro em login.",9,Geral,atualizacao pagamentos ficou simples precisei repetir algumas etapas concluir consegui integrar apareceu erro login
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. platafroma,10,Suporte,notificacoes chegaram atrasadas suporte pediu novamente mesmas informacoes platafroma
