comentario,nota,responsavel,pos_tags
"O carregamento dos relatórios demorou. Consegui emitir boleto, mas depois apareceu erro em API. integração demorou para responder. Depois da atualização integração ficou mais simples.",4,Pós-venda,"[('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('Consegui', 'VERB'), ('emitir', 'VERB'), ('boleto', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('API', 'PROPN'), ('.', 'PUNCT'), ('integração', 'NOUN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('integração', 'NOUN'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT')]"
Recebi erro enquanto tentava baixar relatório. O atendimento resolveu rápido a solicitação.,8,Produto,"[('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('baixar', 'VERB'), ('relatório', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT')]"
Depois da atualização notificações ficou mais simples. Recebi erro enquanto tentava emitir boleto.,4,Geral,"[('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('notificações', 'NOUN'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('emitir', 'VERB'), ('boleto', 'NOUN'), ('.', 'PUNCT')]"
"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações.",2,Produto,"[('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('Consegui', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('relatórios', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT')]"
O carregamento dos relatórios demorou. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. demoro,4,Serviços,"[('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('cadastro', 'ADJ'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('integrar', 'VERB'), ('sistema', 'NOUN'), ('.', 'PUNCT'), ('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('demoro', 'NOUN')]"
Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e dashboard travou duas vezes. O atendimento resolveu rápido a solicitação. ploblema,9,Produto,"[('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('consultar', 'VERB'), ('saldo', 'NOUN'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('consultar', 'VERB'), ('saldo', 'NOUN'), ('e', 'CCONJ'), ('dashboard', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('ploblema', 'NOUN')]"
"Depois da atualização performance ficou mais simples. As notificações chegaram atrasadas. Consegui baixar relatório, mas depois apareceu erro em chat. sitema atendimnto bugou",3,Serviços,"[('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('performance', 'ADJ'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('Consegui', 'VERB'), ('baixar', 'VERB'), ('relatório', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('chat', 'NOUN'), ('.', 'PUNCT'), ('sitema', 'ADJ'), ('atendimnto', 'NOUN'), ('bugou', 'VERB')]"
"O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava consultar saldo. Consegui consultar saldo, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. As notificações chegaram atrasadas.",0,Produto,"[('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('consultar', 'VERB'), ('saldo', 'NOUN'), ('.', 'PUNCT'), ('Consegui', 'PROPN'), ('consultar', 'VERB'), ('saldo', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('dashboard', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT')]"
O carregamento dos relatórios demorou. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e notificações travou duas vezes. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,2,Suporte,"[('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('emitir', 'VERB'), ('boleto', 'NOUN'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('emitir', 'VERB'), ('boleto', 'NOUN'), ('e', 'CCONJ'), ('notificações', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT')]"
"Tentei acompanhar pagamento e limite travou duas vezes. limite demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em usabilidade. ploblema sitema",3,Pós-venda,"[('Tentei', 'VERB'), ('acompanhar', 'VERB'), ('pagamento', 'NOUN'), ('e', 'CCONJ'), ('limite', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('limite', 'NOUN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('Consegui', 'PROPN'), ('acompanhar', 'VERB'), ('pagamento', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('usabilidade', 'NOUN'), ('.', 'PUNCT'), ('ploblema', 'NOUN'), ('sitema', 'ADJ')]"
"Consegui acompanhar pagamento, mas depois apareceu erro em API. Tentei acompanhar pagamento e limite travou duas vezes. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. demoro",8,Serviços,"[('Consegui', 'VERB'), ('acompanhar', 'VERB'), ('pagamento', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('API', 'PROPN'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('acompanhar', 'VERB'), ('pagamento', 'NOUN'), ('e', 'CCONJ'), ('limite', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('demoro', 'NOUN')]"
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência.,8,Produto,"[('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), ('.', 'PUNCT')]"
Recebi erro enquanto tentava consultar saldo. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. chat demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. msg travano,1,Suporte,"[('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('consultar', 'VERB'), ('saldo', 'NOUN'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('chat', 'PROPN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('msg', 'NOUN'), ('travano', 'ADJ')]"
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Depois da atualização integração ficou mais simples.,7,Serviços,"[('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('consultar', 'VERB'), ('saldo', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('integração', 'NOUN'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT')]"
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.,5,Suporte,"[('usabilidade', 'NOUN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('usabilidade', 'ADJ'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT'), ('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT')]"
Mais ou menos.,8,Geral,"[('Mais', 'ADV'), ('ou', 'ADP'), ('menos', 'ADV'), ('.', 'PUNCT')]"
Recebi erro enquanto tentava atualizar cadastro. O carregamento dos relatórios demorou. demoro probelma,10,Suporte,"[('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('atualizar', 'VERB'), ('cadastro', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('demoro', 'NOUN'), ('probelma', 'NOUN')]"
Tentei baixar relatório e onboarding travou duas vezes. Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas. Depois da atualização onboarding ficou mais simples. atendimnto,3,Serviços,"[('Tentei', 'VERB'), ('baixar', 'VERB'), ('relatório', 'NOUN'), ('e', 'CCONJ'), ('onboarding', 'PROPN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('baixar', 'VERB'), ('relatório', 'NOUN'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('onboarding', 'PROPN'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT'), ('atendimnto', 'NOUN')]"
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei baixar relatório e API travou duas vezes. Depois da atualização API ficou mais simples. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório.,10,Serviços,"[('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('baixar', 'VERB'), ('relatório', 'NOUN'), ('e', 'CCONJ'), ('API', 'PROPN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('API', 'PROPN'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT'), ('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('baixar', 'VERB'), ('relatório', 'NOUN'), ('.', 'PUNCT')]"
