comentario,nota,responsavel,comentario_stem_porter
"Consegui acompanhar pagamento, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Tentei acompanhar pagamento e performance travou duas vezes. travano sitema msg",6,Pós-venda,consegui acompanhar pagamento ma depoi apareceu erro em relatorio o suport pediu novament as mesma informaco as notificaco chegaram atrasada precisei repetir alguma etapa para concluir tentei acompanhar pagamento e perform travou dua veze travano sitema msg
"Precisei repetir algumas etapas para concluir. Tentei consultar limite e relatórios travou duas vezes. Recebi erro enquanto tentava consultar limite. O atendimento resolveu rápido a solicitação. Consegui consultar limite, mas depois apareceu erro em login. Depois da atualização relatórios ficou mais simples.",2,Geral,precisei repetir alguma etapa para concluir tentei consultar limit e relatorio travou dua veze recebi erro enquanto tentava consultar limit o atendimento resolveu rapido a solicitacao consegui consultar limit ma depoi apareceu erro em login depoi da atualizacao relatorio ficou mai simpl
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. notificações demorou para responder.,4,Suporte,as notificaco chegaram atrasada o suport pediu novament as mesma informaco precisei repetir alguma etapa para concluir notificaco demor para respond
Achei estranho.,8,Produto,achei estranho
"Consegui consultar saldo, mas depois apareceu erro em login. Tentei consultar saldo e cadastro travou duas vezes. cadastro demorou para responder. travano vcs",1,Suporte,consegui consultar saldo ma depoi apareceu erro em login tentei consultar saldo e cadastro travou dua veze cadastro demor para respond travano vc
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava integrar sistema. pagamentos demorou para responder.,3,Produto,precisei repetir alguma etapa para concluir recebi erro enquanto tentava integrar sistema pagamento demor para respond
"Consegui consultar limite, mas depois apareceu erro em cadastro. Recebi erro enquanto tentava consultar limite. Precisei repetir algumas etapas para concluir. Tentei consultar limite e chat travou duas vezes. O atendimento resolveu rápido a solicitação.",0,Suporte,consegui consultar limit ma depoi apareceu erro em cadastro recebi erro enquanto tentava consultar limit precisei repetir alguma etapa para concluir tentei consultar limit e chat travou dua veze o atendimento resolveu rapido a solicitacao
O carregamento dos relatórios demorou. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Tentei consultar saldo e integração travou duas vezes.,9,Geral,o carregamento do relatorio demor as notificaco chegaram atrasada o atendimento resolveu rapido a solicitacao tentei consultar saldo e integracao travou dua veze
dashboard demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,6,Produto,dashboard demor para respond as notificaco chegaram atrasada precisei repetir alguma etapa para concluir o atendimento resolveu rapido a solicitacao o suport pediu novament as mesma informaco
"Consegui atualizar cadastro, mas depois apareceu erro em cartão virtual. Recebi erro enquanto tentava atualizar cadastro. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. demoro bugou",8,Suporte,consegui atualizar cadastro ma depoi apareceu erro em cartao virtual recebi erro enquanto tentava atualizar cadastro o suport pediu novament as mesma informaco precisei repetir alguma etapa para concluir demoro bugou
Achei estranho.,5,Serviços,achei estranho
O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei atualizar cadastro e pagamentos travou duas vezes. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava atualizar cadastro. Depois da atualização pagamentos ficou mais simples. platafroma naum,3,Suporte,o suport pediu novament as mesma informaco o carregamento do relatorio demor tentei atualizar cadastro e pagamento travou dua veze precisei repetir alguma etapa para concluir recebi erro enquanto tentava atualizar cadastro depoi da atualizacao pagamento ficou mai simpl platafroma naum
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em usabilidade.",7,Serviços,o suport pediu novament as mesma informaco consegui consultar saldo ma depoi apareceu erro em usabilidad
"O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Depois da atualização limite ficou mais simples. Consegui integrar sistema, mas depois apareceu erro em relatórios. probelma vcs",10,Suporte,o carregamento do relatorio demor o atendimento resolveu rapido a solicitacao precisei repetir alguma etapa para concluir depoi da atualizacao limit ficou mai simpl consegui integrar sistema ma depoi apareceu erro em relatorio probelma vc
"Consegui fazer transferência, mas depois apareceu erro em integração. Depois da atualização relatórios ficou mais simples. O suporte pediu novamente as mesmas informações.",5,Serviços,consegui fazer transferencia ma depoi apareceu erro em integracao depoi da atualizacao relatorio ficou mai simpl o suport pediu novament as mesma informaco
"Consegui acompanhar pagamento, mas depois apareceu erro em onboarding. O atendimento resolveu rápido a solicitação. dashboard demorou para responder. Depois da atualização dashboard ficou mais simples. msg ploblema qdo",8,Pós-venda,consegui acompanhar pagamento ma depoi apareceu erro em onboard o atendimento resolveu rapido a solicitacao dashboard demor para respond depoi da atualizacao dashboard ficou mai simpl msg ploblema qdo
Tentei baixar relatório e API travou duas vezes. O suporte pediu novamente as mesmas informações.,8,Pós-venda,tentei baixar relatorio e api travou dua veze o suport pediu novament as mesma informaco
Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas.,2,Produto,recebi erro enquanto tentava baixar relatorio as notificaco chegaram atrasada
Sem comentários.,10,Produto,sem comentario
Nada a declarar.,4,Geral,nada a declarar
"As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. O carregamento dos relatórios demorou. integração demorou para responder. O suporte pediu novamente as mesmas informações. Consegui acompanhar pagamento, mas depois apareceu erro em chat. qdo demoro vcs",6,Suporte,as notificaco chegaram atrasada depoi da atualizacao integracao ficou mai simpl o carregamento do relatorio demor integracao demor para respond o suport pediu novament as mesma informaco consegui acompanhar pagamento ma depoi apareceu erro em chat qdo demoro vc
"Consegui emitir boleto, mas depois apareceu erro em cadastro. pagamentos demorou para responder. Recebi erro enquanto tentava emitir boleto. platafroma demoro",3,Pós-venda,consegui emitir boleto ma depoi apareceu erro em cadastro pagamento demor para respond recebi erro enquanto tentava emitir boleto platafroma demoro
"Consegui baixar relatório, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações.",0,Produto,consegui baixar relatorio ma depoi apareceu erro em pagamento o suport pediu novament as mesma informaco
"Consegui emitir boleto, mas depois apareceu erro em cartão virtual. notificações demorou para responder. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e notificações travou duas vezes. demoro bugou",10,Serviços,consegui emitir boleto ma depoi apareceu erro em cartao virtual notificaco demor para respond o suport pediu novament as mesma informaco as notificaco chegaram atrasada recebi erro enquanto tentava emitir boleto tentei emitir boleto e notificaco travou dua veze demoro bugou
"O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Depois da atualização performance ficou mais simples. Consegui consultar limite, mas depois apareceu erro em pagamentos. sitema",7,Pós-venda,o carregamento do relatorio demor precisei repetir alguma etapa para concluir depoi da atualizacao perform ficou mai simpl consegui consultar limit ma depoi apareceu erro em pagamento sitema
"Precisei repetir algumas etapas para concluir. Tentei consultar saldo e dashboard travou duas vezes. dashboard demorou para responder. Consegui consultar saldo, mas depois apareceu erro em notificações.",9,Serviços,precisei repetir alguma etapa para concluir tentei consultar saldo e dashboard travou dua veze dashboard demor para respond consegui consultar saldo ma depoi apareceu erro em notificaco
Depois da atualização chat ficou mais simples. O atendimento resolveu rápido a solicitação.,4,Produto,depoi da atualizacao chat ficou mai simpl o atendimento resolveu rapido a solicitacao
"As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei baixar relatório e extrato travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em cartão virtual. atendimnto vcs",1,Produto,as notificaco chegaram atrasada o carregamento do relatorio demor tentei baixar relatorio e extrato travou dua veze consegui baixar relatorio ma depoi apareceu erro em cartao virtual atendimnto vc
"Tentei baixar relatório e onboarding travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em login. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.",6,Pós-venda,tentei baixar relatorio e onboard travou dua veze consegui baixar relatorio ma depoi apareceu erro em login o atendimento resolveu rapido a solicitacao o suport pediu novament as mesma informaco o carregamento do relatorio demor
"Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e API travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em pagamentos. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. naum",3,Serviços,recebi erro enquanto tentava baixar relatorio tentei baixar relatorio e api travou dua veze consegui baixar relatorio ma depoi apareceu erro em pagamento o atendimento resolveu rapido a solicitacao precisei repetir alguma etapa para concluir naum
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples.,3,Produto,usabilidad demor para respond depoi da atualizacao usabilidad ficou mai simpl
O carregamento dos relatórios demorou. limite demorou para responder. As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O suporte pediu novamente as mesmas informações.,4,Suporte,o carregamento do relatorio demor limit demor para respond as notificaco chegaram atrasada recebi erro enquanto tentava acompanhar pagamento o suport pediu novament as mesma informaco
O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Tentei consultar limite e integração travou duas vezes. integração demorou para responder.,1,Geral,o carregamento do relatorio demor o suport pediu novament as mesma informaco tentei consultar limit e integracao travou dua veze integracao demor para respond
O carregamento dos relatórios demorou. Depois da atualização limite ficou mais simples. O atendimento resolveu rápido a solicitação. limite demorou para responder. O suporte pediu novamente as mesmas informações.,9,Geral,o carregamento do relatorio demor depoi da atualizacao limit ficou mai simpl o atendimento resolveu rapido a solicitacao limit demor para respond o suport pediu novament as mesma informaco
As notificações chegaram atrasadas. Tentei consultar limite e performance travou duas vezes. O atendimento resolveu rápido a solicitação.,5,Produto,as notificaco chegaram atrasada tentei consultar limit e perform travou dua veze o atendimento resolveu rapido a solicitacao
Tentei fazer transferência e cadastro travou duas vezes. cadastro demorou para responder. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,6,Serviços,tentei fazer transferencia e cadastro travou dua veze cadastro demor para respond o atendimento resolveu rapido a solicitacao as notificaco chegaram atrasada precisei repetir alguma etapa para concluir
login demorou para responder. Recebi erro enquanto tentava fazer transferência. Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. sitema travano vcs,8,Produto,login demor para respond recebi erro enquanto tentava fazer transferencia depoi da atualizacao login ficou mai simpl as notificaco chegaram atrasada precisei repetir alguma etapa para concluir sitema travano vc
"Tentei baixar relatório e cartão virtual travou duas vezes. Recebi erro enquanto tentava baixar relatório. Consegui baixar relatório, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. cartão virtual demorou para responder.",10,Geral,tentei baixar relatorio e cartao virtual travou dua veze recebi erro enquanto tentava baixar relatorio consegui baixar relatorio ma depoi apareceu erro em extrato o atendimento resolveu rapido a solicitacao as notificaco chegaram atrasada cartao virtual demor para respond
integração demorou para responder. O suporte pediu novamente as mesmas informações. Tentei emitir boleto e integração travou duas vezes. Depois da atualização integração ficou mais simples. Precisei repetir algumas etapas para concluir.,6,Serviços,integracao demor para respond o suport pediu novament as mesma informaco tentei emitir boleto e integracao travou dua veze depoi da atualizacao integracao ficou mai simpl precisei repetir alguma etapa para concluir
"notificações demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Tentei consultar limite e notificações travou duas vezes. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em relatórios.",5,Suporte,notificaco demor para respond precisei repetir alguma etapa para concluir o carregamento do relatorio demor tentei consultar limit e notificaco travou dua veze o suport pediu novament as mesma informaco consegui consultar limit ma depoi apareceu erro em relatorio
O suporte pediu novamente as mesmas informações. Tentei atualizar cadastro e limite travou duas vezes. Depois da atualização limite ficou mais simples. limite demorou para responder. O atendimento resolveu rápido a solicitação.,9,Suporte,o suport pediu novament as mesma informaco tentei atualizar cadastro e limit travou dua veze depoi da atualizacao limit ficou mai simpl limit demor para respond o atendimento resolveu rapido a solicitacao
"Depois da atualização pagamentos ficou mais simples. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em cadastro. Precisei repetir algumas etapas para concluir.",5,Suporte,depoi da atualizacao pagamento ficou mai simpl o suport pediu novament as mesma informaco consegui consultar limit ma depoi apareceu erro em cadastro precisei repetir alguma etapa para concluir
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. bugou qdo demoro,6,Suporte,as notificaco chegaram atrasada o suport pediu novament as mesma informaco bugou qdo demoro
"Consegui integrar sistema, mas depois apareceu erro em chat. O suporte pediu novamente as mesmas informações. notificações demorou para responder.",4,Serviços,consegui integrar sistema ma depoi apareceu erro em chat o suport pediu novament as mesma informaco notificaco demor para respond
Sem opinião.,10,Geral,sem opiniao
"dashboard demorou para responder. Consegui integrar sistema, mas depois apareceu erro em pagamentos. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.",5,Suporte,dashboard demor para respond consegui integrar sistema ma depoi apareceu erro em pagamento precisei repetir alguma etapa para concluir as notificaco chegaram atrasada o suport pediu novament as mesma informaco
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava atualizar cadastro. Consegui atualizar cadastro, mas depois apareceu erro em API. Tentei atualizar cadastro e onboarding travou duas vezes. travano",8,Produto,o suport pediu novament as mesma informaco o atendimento resolveu rapido a solicitacao recebi erro enquanto tentava atualizar cadastro consegui atualizar cadastro ma depoi apareceu erro em api tentei atualizar cadastro e onboard travou dua veze travano
As notificações chegaram atrasadas. Tentei integrar sistema e integração travou duas vezes. platafroma,6,Serviços,as notificaco chegaram atrasada tentei integrar sistema e integracao travou dua veze platafroma
"Consegui integrar sistema, mas depois apareceu erro em onboarding. Depois da atualização cartão virtual ficou mais simples. atendimnto demoro probelma",10,Produto,consegui integrar sistema ma depoi apareceu erro em onboard depoi da atualizacao cartao virtual ficou mai simpl atendimnto demoro probelma
