comentario,nota,responsavel,comentario_stem_snowball
"O carregamento dos relatórios demorou. Consegui emitir boleto, mas depois apareceu erro em API. integração demorou para responder. Depois da atualização integração ficou mais simples.",4,Pós-venda,o carreg dos relatori demor consegu emit bolet mas depo aparec erro em api integraca demor par respond depo da atualizaca integraca fic mais simpl
Recebi erro enquanto tentava baixar relatório. O atendimento resolveu rápido a solicitação.,8,Produto,receb erro enquant tent baix relatori o atend resolv rap a solicitaca
Depois da atualização notificações ficou mais simples. Recebi erro enquanto tentava emitir boleto.,4,Geral,depo da atualizaca notificaco fic mais simpl receb erro enquant tent emit bolet
"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações.",2,Produto,o carreg dos relatori demor as notificaco cheg atras consegu faz transferenc mas depo aparec erro em relatori o suport ped nov as mesm informaco
O carregamento dos relatórios demorou. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. demoro,4,Serviços,o carreg dos relatori demor depo da atualizaca cadastr fic mais simpl receb erro enquant tent integr sistem precis repet algum etap par conclu as notificaco cheg atras demor
Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e dashboard travou duas vezes. O atendimento resolveu rápido a solicitação. ploblema,9,Produto,receb erro enquant tent consult sald tent consult sald e dashboard trav duas vez o atend resolv rap a solicitaca ploblem
"Depois da atualização performance ficou mais simples. As notificações chegaram atrasadas. Consegui baixar relatório, mas depois apareceu erro em chat. sitema atendimnto bugou",3,Serviços,depo da atualizaca performanc fic mais simpl as notificaco cheg atras consegu baix relatori mas depo aparec erro em chat sitem atendimnt bug
"O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava consultar saldo. Consegui consultar saldo, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. As notificações chegaram atrasadas.",0,Produto,o atend resolv rap a solicitaca receb erro enquant tent consult sald consegu consult sald mas depo aparec erro em dashboard o carreg dos relatori demor as notificaco cheg atras
O carregamento dos relatórios demorou. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e notificações travou duas vezes. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,2,Suporte,o carreg dos relatori demor receb erro enquant tent emit bolet tent emit bolet e notificaco trav duas vez o atend resolv rap a solicitaca o suport ped nov as mesm informaco
"Tentei acompanhar pagamento e limite travou duas vezes. limite demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em usabilidade. ploblema sitema",3,Pós-venda,tent acompanh pagament e limit trav duas vez limit demor par respond as notificaco cheg atras precis repet algum etap par conclu consegu acompanh pagament mas depo aparec erro em usabil ploblem sitem
"Consegui acompanhar pagamento, mas depois apareceu erro em API. Tentei acompanhar pagamento e limite travou duas vezes. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. demoro",8,Serviços,consegu acompanh pagament mas depo aparec erro em api tent acompanh pagament e limit trav duas vez o carreg dos relatori demor o atend resolv rap a solicitaca demor
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência.,8,Produto,precis repet algum etap par conclu receb erro enquant tent faz transferenc
Recebi erro enquanto tentava consultar saldo. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. chat demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. msg travano,1,Suporte,receb erro enquant tent consult sald as notificaco cheg atras o atend resolv rap a solicitaca chat demor par respond precis repet algum etap par conclu o carreg dos relatori demor msg travan
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Depois da atualização integração ficou mais simples.,7,Serviços,precis repet algum etap par conclu receb erro enquant tent consult sald o carreg dos relatori demor o suport ped nov as mesm informaco depo da atualizaca integraca fic mais simpl
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.,5,Suporte,usabil demor par respond depo da atualizaca usabil fic mais simpl o suport ped nov as mesm informaco o carreg dos relatori demor
Mais ou menos.,8,Geral,mais ou men
Recebi erro enquanto tentava atualizar cadastro. O carregamento dos relatórios demorou. demoro probelma,10,Suporte,receb erro enquant tent atualiz cadastr o carreg dos relatori demor demor probelm
Tentei baixar relatório e onboarding travou duas vezes. Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas. Depois da atualização onboarding ficou mais simples. atendimnto,3,Serviços,tent baix relatori e onboarding trav duas vez receb erro enquant tent baix relatori as notificaco cheg atras depo da atualizaca onboarding fic mais simpl atendimnt
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei baixar relatório e API travou duas vezes. Depois da atualização API ficou mais simples. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório.,10,Serviços,as notificaco cheg atras o carreg dos relatori demor tent baix relatori e api trav duas vez depo da atualizaca api fic mais simpl precis repet algum etap par conclu receb erro enquant tent baix relatori
O atendimento resolveu rápido a solicitação. Tentei consultar saldo e cartão virtual travou duas vezes. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo.,9,Geral,o atend resolv rap a solicitaca tent consult sald e carta virtual trav duas vez precis repet algum etap par conclu receb erro enquant tent consult sald
"usabilidade demorou para responder. Consegui consultar limite, mas depois apareceu erro em onboarding. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar limite. O carregamento dos relatórios demorou. atendimnto sitema probelma",5,Serviços,usabil demor par respond consegu consult limit mas depo aparec erro em onboarding precis repet algum etap par conclu as notificaco cheg atras receb erro enquant tent consult limit o carreg dos relatori demor atendimnt sitem probelm
"Consegui baixar relatório, mas depois apareceu erro em onboarding. Depois da atualização login ficou mais simples. O atendimento resolveu rápido a solicitação. probelma",1,Suporte,consegu baix relatori mas depo aparec erro em onboarding depo da atualizaca login fic mais simpl o atend resolv rap a solicitaca probelm
O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,3,Suporte,o atend resolv rap a solicitaca o carreg dos relatori demor as notificaco cheg atras precis repet algum etap par conclu
Recebi erro enquanto tentava atualizar cadastro. As notificações chegaram atrasadas. sitema demoro,0,Produto,receb erro enquant tent atualiz cadastr as notificaco cheg atras sitem demor
As notificações chegaram atrasadas. Tentei atualizar cadastro e chat travou duas vezes.,1,Pós-venda,as notificaco cheg atras tent atualiz cadastr e chat trav duas vez
As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. bugou,10,Geral,as notificaco cheg atras receb erro enquant tent acompanh pagament o atend resolv rap a solicitaca o suport ped nov as mesm informaco bug
"O carregamento dos relatórios demorou. cartão virtual demorou para responder. Consegui consultar limite, mas depois apareceu erro em extrato. Depois da atualização cartão virtual ficou mais simples.",8,Geral,o carreg dos relatori demor carta virtual demor par respond consegu consult limit mas depo aparec erro em extrat depo da atualizaca carta virtual fic mais simpl
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em cartão virtual. As notificações chegaram atrasadas. Depois da atualização pagamentos ficou mais simples.",2,Produto,o suport ped nov as mesm informaco consegu consult sald mas depo aparec erro em carta virtual as notificaco cheg atras depo da atualizaca pagament fic mais simpl
Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. travano,7,Serviços,receb erro enquant tent baix relatori o suport ped nov as mesm informaco o atend resolv rap a solicitaca travan
Recebi erro enquanto tentava baixar relatório. Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir.,3,Suporte,receb erro enquant tent baix relatori depo da atualizaca login fic mais simpl as notificaco cheg atras o atend resolv rap a solicitaca o suport ped nov as mesm informaco precis repet algum etap par conclu
"As notificações chegaram atrasadas. Consegui consultar saldo, mas depois apareceu erro em performance. naum platafroma qdo",6,Produto,as notificaco cheg atras consegu consult sald mas depo aparec erro em performanc naum platafrom qdo
Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. O suporte pediu novamente as mesmas informações.,1,Produto,precis repet algum etap par conclu o carreg dos relatori demor as notificaco cheg atras depo da atualizaca integraca fic mais simpl o suport ped nov as mesm informaco
"Depois da atualização integração ficou mais simples. Consegui atualizar cadastro, mas depois apareceu erro em notificações. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei atualizar cadastro e integração travou duas vezes. integração demorou para responder. atendimnto naum",7,Suporte,depo da atualizaca integraca fic mais simpl consegu atualiz cadastr mas depo aparec erro em notificaco o suport ped nov as mesm informaco o carreg dos relatori demor tent atualiz cadastr e integraca trav duas vez integraca demor par respond atendimnt naum
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. sitema qdo,2,Suporte,as notificaco cheg atras precis repet algum etap par conclu sitem qdo
"As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. Tentei consultar saldo e integração travou duas vezes. integração demorou para responder. Precisei repetir algumas etapas para concluir. Consegui consultar saldo, mas depois apareceu erro em chat.",6,Suporte,as notificaco cheg atras depo da atualizaca integraca fic mais simpl tent consult sald e integraca trav duas vez integraca demor par respond precis repet algum etap par conclu consegu consult sald mas depo aparec erro em chat
"Consegui acompanhar pagamento, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Tentei acompanhar pagamento e performance travou duas vezes. travano sitema msg",6,Pós-venda,consegu acompanh pagament mas depo aparec erro em relatori o suport ped nov as mesm informaco as notificaco cheg atras precis repet algum etap par conclu tent acompanh pagament e performanc trav duas vez travan sitem msg
"Precisei repetir algumas etapas para concluir. Tentei consultar limite e relatórios travou duas vezes. Recebi erro enquanto tentava consultar limite. O atendimento resolveu rápido a solicitação. Consegui consultar limite, mas depois apareceu erro em login. Depois da atualização relatórios ficou mais simples.",2,Geral,precis repet algum etap par conclu tent consult limit e relatori trav duas vez receb erro enquant tent consult limit o atend resolv rap a solicitaca consegu consult limit mas depo aparec erro em login depo da atualizaca relatori fic mais simpl
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. notificações demorou para responder.,4,Suporte,as notificaco cheg atras o suport ped nov as mesm informaco precis repet algum etap par conclu notificaco demor par respond
Achei estranho.,8,Produto,ache estranh
"Consegui consultar saldo, mas depois apareceu erro em login. Tentei consultar saldo e cadastro travou duas vezes. cadastro demorou para responder. travano vcs",1,Suporte,consegu consult sald mas depo aparec erro em login tent consult sald e cadastr trav duas vez cadastr demor par respond travan vcs
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava integrar sistema. pagamentos demorou para responder.,3,Produto,precis repet algum etap par conclu receb erro enquant tent integr sistem pagament demor par respond
"Consegui consultar limite, mas depois apareceu erro em cadastro. Recebi erro enquanto tentava consultar limite. Precisei repetir algumas etapas para concluir. Tentei consultar limite e chat travou duas vezes. O atendimento resolveu rápido a solicitação.",0,Suporte,consegu consult limit mas depo aparec erro em cadastr receb erro enquant tent consult limit precis repet algum etap par conclu tent consult limit e chat trav duas vez o atend resolv rap a solicitaca
O carregamento dos relatórios demorou. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Tentei consultar saldo e integração travou duas vezes.,9,Geral,o carreg dos relatori demor as notificaco cheg atras o atend resolv rap a solicitaca tent consult sald e integraca trav duas vez
dashboard demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,6,Produto,dashboard demor par respond as notificaco cheg atras precis repet algum etap par conclu o atend resolv rap a solicitaca o suport ped nov as mesm informaco
"Consegui atualizar cadastro, mas depois apareceu erro em cartão virtual. Recebi erro enquanto tentava atualizar cadastro. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. demoro bugou",8,Suporte,consegu atualiz cadastr mas depo aparec erro em carta virtual receb erro enquant tent atualiz cadastr o suport ped nov as mesm informaco precis repet algum etap par conclu demor bug
Achei estranho.,5,Serviços,ache estranh
O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei atualizar cadastro e pagamentos travou duas vezes. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava atualizar cadastro. Depois da atualização pagamentos ficou mais simples. platafroma naum,3,Suporte,o suport ped nov as mesm informaco o carreg dos relatori demor tent atualiz cadastr e pagament trav duas vez precis repet algum etap par conclu receb erro enquant tent atualiz cadastr depo da atualizaca pagament fic mais simpl platafrom naum
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em usabilidade.",7,Serviços,o suport ped nov as mesm informaco consegu consult sald mas depo aparec erro em usabil
"O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Depois da atualização limite ficou mais simples. Consegui integrar sistema, mas depois apareceu erro em relatórios. probelma vcs",10,Suporte,o carreg dos relatori demor o atend resolv rap a solicitaca precis repet algum etap par conclu depo da atualizaca limit fic mais simpl consegu integr sistem mas depo aparec erro em relatori probelm vcs
"Consegui fazer transferência, mas depois apareceu erro em integração. Depois da atualização relatórios ficou mais simples. O suporte pediu novamente as mesmas informações.",5,Serviços,consegu faz transferenc mas depo aparec erro em integraca depo da atualizaca relatori fic mais simpl o suport ped nov as mesm informaco
"Consegui acompanhar pagamento, mas depois apareceu erro em onboarding. O atendimento resolveu rápido a solicitação. dashboard demorou para responder. Depois da atualização dashboard ficou mais simples. msg ploblema qdo",8,Pós-venda,consegu acompanh pagament mas depo aparec erro em onboarding o atend resolv rap a solicitaca dashboard demor par respond depo da atualizaca dashboard fic mais simpl msg ploblem qdo
Tentei baixar relatório e API travou duas vezes. O suporte pediu novamente as mesmas informações.,8,Pós-venda,tent baix relatori e api trav duas vez o suport ped nov as mesm informaco
Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas.,2,Produto,receb erro enquant tent baix relatori as notificaco cheg atras
Sem comentários.,10,Produto,sem comentari
Nada a declarar.,4,Geral,nad a declar
"As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. O carregamento dos relatórios demorou. integração demorou para responder. O suporte pediu novamente as mesmas informações. Consegui acompanhar pagamento, mas depois apareceu erro em chat. qdo demoro vcs",6,Suporte,as notificaco cheg atras depo da atualizaca integraca fic mais simpl o carreg dos relatori demor integraca demor par respond o suport ped nov as mesm informaco consegu acompanh pagament mas depo aparec erro em chat qdo demor vcs
"Consegui emitir boleto, mas depois apareceu erro em cadastro. pagamentos demorou para responder. Recebi erro enquanto tentava emitir boleto. platafroma demoro",3,Pós-venda,consegu emit bolet mas depo aparec erro em cadastr pagament demor par respond receb erro enquant tent emit bolet platafrom demor
"Consegui baixar relatório, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações.",0,Produto,consegu baix relatori mas depo aparec erro em pagament o suport ped nov as mesm informaco
"Consegui emitir boleto, mas depois apareceu erro em cartão virtual. notificações demorou para responder. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e notificações travou duas vezes. demoro bugou",10,Serviços,consegu emit bolet mas depo aparec erro em carta virtual notificaco demor par respond o suport ped nov as mesm informaco as notificaco cheg atras receb erro enquant tent emit bolet tent emit bolet e notificaco trav duas vez demor bug
"O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Depois da atualização performance ficou mais simples. Consegui consultar limite, mas depois apareceu erro em pagamentos. sitema",7,Pós-venda,o carreg dos relatori demor precis repet algum etap par conclu depo da atualizaca performanc fic mais simpl consegu consult limit mas depo aparec erro em pagament sitem
"Precisei repetir algumas etapas para concluir. Tentei consultar saldo e dashboard travou duas vezes. dashboard demorou para responder. Consegui consultar saldo, mas depois apareceu erro em notificações.",9,Serviços,precis repet algum etap par conclu tent consult sald e dashboard trav duas vez dashboard demor par respond consegu consult sald mas depo aparec erro em notificaco
Depois da atualização chat ficou mais simples. O atendimento resolveu rápido a solicitação.,4,Produto,depo da atualizaca chat fic mais simpl o atend resolv rap a solicitaca
"As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei baixar relatório e extrato travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em cartão virtual. atendimnto vcs",1,Produto,as notificaco cheg atras o carreg dos relatori demor tent baix relatori e extrat trav duas vez consegu baix relatori mas depo aparec erro em carta virtual atendimnt vcs
"Tentei baixar relatório e onboarding travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em login. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.",6,Pós-venda,tent baix relatori e onboarding trav duas vez consegu baix relatori mas depo aparec erro em login o atend resolv rap a solicitaca o suport ped nov as mesm informaco o carreg dos relatori demor
"Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e API travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em pagamentos. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. naum",3,Serviços,receb erro enquant tent baix relatori tent baix relatori e api trav duas vez consegu baix relatori mas depo aparec erro em pagament o atend resolv rap a solicitaca precis repet algum etap par conclu naum
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples.,3,Produto,usabil demor par respond depo da atualizaca usabil fic mais simpl
O carregamento dos relatórios demorou. limite demorou para responder. As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O suporte pediu novamente as mesmas informações.,4,Suporte,o carreg dos relatori demor limit demor par respond as notificaco cheg atras receb erro enquant tent acompanh pagament o suport ped nov as mesm informaco
O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Tentei consultar limite e integração travou duas vezes. integração demorou para responder.,1,Geral,o carreg dos relatori demor o suport ped nov as mesm informaco tent consult limit e integraca trav duas vez integraca demor par respond
O carregamento dos relatórios demorou. Depois da atualização limite ficou mais simples. O atendimento resolveu rápido a solicitação. limite demorou para responder. O suporte pediu novamente as mesmas informações.,9,Geral,o carreg dos relatori demor depo da atualizaca limit fic mais simpl o atend resolv rap a solicitaca limit demor par respond o suport ped nov as mesm informaco
As notificações chegaram atrasadas. Tentei consultar limite e performance travou duas vezes. O atendimento resolveu rápido a solicitação.,5,Produto,as notificaco cheg atras tent consult limit e performanc trav duas vez o atend resolv rap a solicitaca
Tentei fazer transferência e cadastro travou duas vezes. cadastro demorou para responder. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,6,Serviços,tent faz transferenc e cadastr trav duas vez cadastr demor par respond o atend resolv rap a solicitaca as notificaco cheg atras precis repet algum etap par conclu
login demorou para responder. Recebi erro enquanto tentava fazer transferência. Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. sitema travano vcs,8,Produto,login demor par respond receb erro enquant tent faz transferenc depo da atualizaca login fic mais simpl as notificaco cheg atras precis repet algum etap par conclu sitem travan vcs
"Tentei baixar relatório e cartão virtual travou duas vezes. Recebi erro enquanto tentava baixar relatório. Consegui baixar relatório, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. cartão virtual demorou para responder.",10,Geral,tent baix relatori e carta virtual trav duas vez receb erro enquant tent baix relatori consegu baix relatori mas depo aparec erro em extrat o atend resolv rap a solicitaca as notificaco cheg atras carta virtual demor par respond
integração demorou para responder. O suporte pediu novamente as mesmas informações. Tentei emitir boleto e integração travou duas vezes. Depois da atualização integração ficou mais simples. Precisei repetir algumas etapas para concluir.,6,Serviços,integraca demor par respond o suport ped nov as mesm informaco tent emit bolet e integraca trav duas vez depo da atualizaca integraca fic mais simpl precis repet algum etap par conclu
"notificações demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Tentei consultar limite e notificações travou duas vezes. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em relatórios.",5,Suporte,notificaco demor par respond precis repet algum etap par conclu o carreg dos relatori demor tent consult limit e notificaco trav duas vez o suport ped nov as mesm informaco consegu consult limit mas depo aparec erro em relatori
O suporte pediu novamente as mesmas informações. Tentei atualizar cadastro e limite travou duas vezes. Depois da atualização limite ficou mais simples. limite demorou para responder. O atendimento resolveu rápido a solicitação.,9,Suporte,o suport ped nov as mesm informaco tent atualiz cadastr e limit trav duas vez depo da atualizaca limit fic mais simpl limit demor par respond o atend resolv rap a solicitaca
"Depois da atualização pagamentos ficou mais simples. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em cadastro. Precisei repetir algumas etapas para concluir.",5,Suporte,depo da atualizaca pagament fic mais simpl o suport ped nov as mesm informaco consegu consult limit mas depo aparec erro em cadastr precis repet algum etap par conclu
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. bugou qdo demoro,6,Suporte,as notificaco cheg atras o suport ped nov as mesm informaco bug qdo demor
"Consegui integrar sistema, mas depois apareceu erro em chat. O suporte pediu novamente as mesmas informações. notificações demorou para responder.",4,Serviços,consegu integr sistem mas depo aparec erro em chat o suport ped nov as mesm informaco notificaco demor par respond
Sem opinião.,10,Geral,sem opinia
"dashboard demorou para responder. Consegui integrar sistema, mas depois apareceu erro em pagamentos. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.",5,Suporte,dashboard demor par respond consegu integr sistem mas depo aparec erro em pagament precis repet algum etap par conclu as notificaco cheg atras o suport ped nov as mesm informaco
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava atualizar cadastro. Consegui atualizar cadastro, mas depois apareceu erro em API. Tentei atualizar cadastro e onboarding travou duas vezes. travano",8,Produto,o suport ped nov as mesm informaco o atend resolv rap a solicitaca receb erro enquant tent atualiz cadastr consegu atualiz cadastr mas depo aparec erro em api tent atualiz cadastr e onboarding trav duas vez travan
As notificações chegaram atrasadas. Tentei integrar sistema e integração travou duas vezes. platafroma,6,Serviços,as notificaco cheg atras tent integr sistem e integraca trav duas vez platafrom
"Consegui integrar sistema, mas depois apareceu erro em onboarding. Depois da atualização cartão virtual ficou mais simples. atendimnto demoro probelma",10,Produto,consegu integr sistem mas depo aparec erro em onboarding depo da atualizaca carta virtual fic mais simpl atendimnt demor probelm
Recebi erro enquanto tentava atualizar cadastro. usabilidade demorou para responder. Tentei atualizar cadastro e usabilidade travou duas vezes. Depois da atualização usabilidade ficou mais simples. O carregamento dos relatórios demorou.,10,Serviços,receb erro enquant tent atualiz cadastr usabil demor par respond tent atualiz cadastr e usabil trav duas vez depo da atualizaca usabil fic mais simpl o carreg dos relatori demor
"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. API demorou para responder. Consegui baixar relatório, mas depois apareceu erro em cartão virtual.",3,Suporte,o carreg dos relatori demor as notificaco cheg atras api demor par respond consegu baix relatori mas depo aparec erro em carta virtual
"Depois da atualização pagamentos ficou mais simples. Precisei repetir algumas etapas para concluir. Consegui integrar sistema, mas depois apareceu erro em login.",9,Geral,depo da atualizaca pagament fic mais simpl precis repet algum etap par conclu consegu integr sistem mas depo aparec erro em login
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. platafroma,10,Suporte,as notificaco cheg atras o suport ped nov as mesm informaco platafrom
"Consegui consultar saldo, mas depois apareceu erro em login. chat demorou para responder. Precisei repetir algumas etapas para concluir. Tentei consultar saldo e chat travou duas vezes.",3,Suporte,consegu consult sald mas depo aparec erro em login chat demor par respond precis repet algum etap par conclu tent consult sald e chat trav duas vez
Precisei repetir algumas etapas para concluir. Tentei integrar sistema e onboarding travou duas vezes. O suporte pediu novamente as mesmas informações.,9,Produto,precis repet algum etap par conclu tent integr sistem e onboarding trav duas vez o suport ped nov as mesm informaco
integração demorou para responder. Tentei emitir boleto e integração travou duas vezes. demoro,2,Suporte,integraca demor par respond tent emit bolet e integraca trav duas vez demor
