comentario,nota,responsavel,comentario_lemma
Depois da atualização notificações ficou mais simples. Recebi erro enquanto tentava emitir boleto.,4,Geral,depois de o atualização notificação ficar mais simples . Recebi erro enquanto tentar emitir boleto .
"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações.",2,Produto,"o carregamento de o relatório demorar . o notificação chegar atrasado . Consegui fazer transferência , mas depois aparecer erro em relatório . o suporte pedir novamente o mesmo informação ."
O carregamento dos relatórios demorou. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. demoro,4,Serviços,o carregamento de o relatório demorar . depois de o atualização cadastro ficar mais simples . Recebi erro enquanto tentar integrar sistema . Precisei repetir algum etapa para concluir . o notificação chegar atrasado . demoro
Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e dashboard travou duas vezes. O atendimento resolveu rápido a solicitação. ploblema,9,Produto,Recebi erro enquanto tentar consultar saldo . Tentei consultar saldo e dashboard travar dois vez . o atendimento resolver rápido o solicitação . ploblema
"Depois da atualização performance ficou mais simples. As notificações chegaram atrasadas. Consegui baixar relatório, mas depois apareceu erro em chat. sitema atendimnto bugou",3,Serviços,"depois de o atualização performance ficar mais simples . o notificação chegar atrasado . Consegui baixar relatório , mas depois aparecer erro em chat . sitema atendimnto bugar"
"O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava consultar saldo. Consegui consultar saldo, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. As notificações chegaram atrasadas.",0,Produto,"o atendimento resolver rápido o solicitação . Recebi erro enquanto tentar consultar saldo . Consegui consultar saldo , mas depois aparecer erro em dashboard . o carregamento de o relatório demorar . o notificação chegar atrasado ."
O carregamento dos relatórios demorou. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e notificações travou duas vezes. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,2,Suporte,o carregamento de o relatório demorar . Recebi erro enquanto tentar emitir boleto . Tentei emitir boleto e notificação travar dois vez . o atendimento resolver rápido o solicitação . o suporte pedir novamente o mesmo informação .
"Tentei acompanhar pagamento e limite travou duas vezes. limite demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em usabilidade. ploblema sitema",3,Pós-venda,"Tentei acompanhar pagamento e limite travar dois vez . limite demorar para responder . o notificação chegar atrasado . precisei repetir algum etapa para concluir . Consegui acompanhar pagamento , mas depois aparecer erro em usabilidade . ploblema sitema"
"Consegui acompanhar pagamento, mas depois apareceu erro em API. Tentei acompanhar pagamento e limite travou duas vezes. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. demoro",8,Serviços,"Consegui acompanhar pagamento , mas depois aparecer erro em API . Tentei acompanhar pagamento e limite travar dois vez . o carregamento de o relatório demorar . o atendimento resolver rápido o solicitação . demoro"
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência.,8,Produto,precisei repetir algum etapa para concluir . Recebi erro enquanto tentar fazer transferência .
Recebi erro enquanto tentava consultar saldo. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. chat demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. msg travano,1,Suporte,Recebi erro enquanto tentar consultar saldo . o notificação chegar atrasado . o atendimento resolver rápido o solicitação . chat demorar para responder . precisei repetir algum etapa para concluir . o carregamento de o relatório demorar . msg travano
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Depois da atualização integração ficou mais simples.,7,Serviços,precisei repetir algum etapa para concluir . Recebi erro enquanto tentar consultar saldo . o carregamento de o relatório demorar . o suporte pedir novamente o mesmo informação . depois de o atualização integração ficar mais simples .
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.,5,Suporte,usabilidade demorar para responder . depois de o atualização usabilidade ficar mais simples . o suporte pedir novamente o mesmo informação . o carregamento de o relatório demorar .
Mais ou menos.,8,Geral,mais ou menos .
Recebi erro enquanto tentava atualizar cadastro. O carregamento dos relatórios demorou. demoro probelma,10,Suporte,Recebi erro enquanto tentar atualizar cadastro . o carregamento de o relatório demorar . demoro probelma
Tentei baixar relatório e onboarding travou duas vezes. Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas. Depois da atualização onboarding ficou mais simples. atendimnto,3,Serviços,Tentei baixar relatório e onboarding travar dois vez . Recebi erro enquanto tentar baixar relatório . o notificação chegar atrasado . depois de o atualização onboarding ficar mais simples . atendimnto
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei baixar relatório e API travou duas vezes. Depois da atualização API ficou mais simples. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório.,10,Serviços,o notificação chegar atrasado . o carregamento de o relatório demorar . Tentei baixar relatório e API travar dois vez . depois de o atualização API ficar mais simples . Precisei repetir algum etapa para concluir . Recebi erro enquanto tentar baixar relatório .
O atendimento resolveu rápido a solicitação. Tentei consultar saldo e cartão virtual travou duas vezes. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo.,9,Geral,o atendimento resolver rápido o solicitação . Tentei consultar saldo e cartão virtual travar dois vez . Precisei repetir algum etapa para concluir . Recebi erro enquanto tentar consultar saldo .
"usabilidade demorou para responder. Consegui consultar limite, mas depois apareceu erro em onboarding. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar limite. O carregamento dos relatórios demorou. atendimnto sitema probelma",5,Serviços,"usabilidade demorar para responder . Consegui consultar limite , mas depois aparecer erro em onboarding . Precisei repetir algum etapa para concluir . o notificação chegar atrasado . Recebi erro enquanto tentar consultar limite . o carregamento de o relatório demorar . atendimnto sitema probelma"
"Consegui baixar relatório, mas depois apareceu erro em onboarding. Depois da atualização login ficou mais simples. O atendimento resolveu rápido a solicitação. probelma",1,Suporte,"Consegui baixar relatório , mas depois aparecer erro em onboarding . depois de o atualização login ficar mais simples . o atendimento resolver rápido o solicitação . probelma"
O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,3,Suporte,o atendimento resolver rápido o solicitação . o carregamento de o relatório demorar . o notificação chegar atrasado . precisei repetir algum etapa para concluir .
Recebi erro enquanto tentava atualizar cadastro. As notificações chegaram atrasadas. sitema demoro,0,Produto,Recebi erro enquanto tentar atualizar cadastro . o notificação chegar atrasar . sitema demoro
As notificações chegaram atrasadas. Tentei atualizar cadastro e chat travou duas vezes.,1,Pós-venda,o notificação chegar atrasado . Tentei atualizar cadastro e chat travar dois vez .
As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. bugou,10,Geral,o notificação chegar atrasado . Recebi erro enquanto tentar acompanhar pagamento . o atendimento resolver rápido o solicitação . o suporte pedir novamente o mesmo informação . bugar
"O carregamento dos relatórios demorou. cartão virtual demorou para responder. Consegui consultar limite, mas depois apareceu erro em extrato. Depois da atualização cartão virtual ficou mais simples.",8,Geral,"o carregamento de o relatório demorar . cartão virtual demorar para responder . Consegui consultar limite , mas depois aparecer erro em extrato . depois de o atualização cartão virtual ficar mais simples ."
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em cartão virtual. As notificações chegaram atrasadas. Depois da atualização pagamentos ficou mais simples.",2,Produto,"o suporte pedir novamente o mesmo informação . Consegui consultar saldo , mas depois aparecer erro em cartão virtual . o notificação chegar atrasado . depois de o atualização pagamento ficar mais simples ."
Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. travano,7,Serviços,Recebi erro enquanto tentar baixar relatório . o suporte pedir novamente o mesmo informação . o atendimento resolver rápido o solicitação . travano
Recebi erro enquanto tentava baixar relatório. Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir.,3,Suporte,Recebi erro enquanto tentar baixar relatório . depois de o atualização login ficar mais simples . o notificação chegar atrasado . o atendimento resolver rápido o solicitação . o suporte pedir novamente o mesmo informação . precisei repetir algum etapa para concluir .
"As notificações chegaram atrasadas. Consegui consultar saldo, mas depois apareceu erro em performance. naum platafroma qdo",6,Produto,"o notificação chegar atrasado . Consegui consultar saldo , mas depois aparecer erro em performance . naum platafroma qdo"
Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. O suporte pediu novamente as mesmas informações.,1,Produto,precisei repetir algum etapa para concluir . o carregamento de o relatório demorar . o notificação chegar atrasado . depois de o atualização integração ficar mais simples . o suporte pedir novamente o mesmo informação .
"Depois da atualização integração ficou mais simples. Consegui atualizar cadastro, mas depois apareceu erro em notificações. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei atualizar cadastro e integração travou duas vezes. integração demorou para responder. atendimnto naum",7,Suporte,"depois de o atualização integração ficar mais simples . Consegui atualizar cadastro , mas depois aparecer erro em notificação . o suporte pedir novamente o mesmo informação . o carregamento de o relatório demorar . Tentei atualizar cadastro e integração travar dois vez . integração demorar para responder . atendimnto naum"
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. sitema qdo,2,Suporte,o notificação chegar atrasado . precisei repetir algum etapa para concluir . sitema qdo
"As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. Tentei consultar saldo e integração travou duas vezes. integração demorou para responder. Precisei repetir algumas etapas para concluir. Consegui consultar saldo, mas depois apareceu erro em chat.",6,Suporte,"o notificação chegar atrasado . depois de o atualização integração ficar mais simples . Tentei consultar saldo e integração travar dois vez . integração demorar para responder . precisei repetir algum etapa para concluir . Consegui consultar saldo , mas depois aparecer erro em chat ."
"Consegui acompanhar pagamento, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Tentei acompanhar pagamento e performance travou duas vezes. travano sitema msg",6,Pós-venda,"Consegui acompanhar pagamento , mas depois aparecer erro em relatório . o suporte pedir novamente o mesmo informação . o notificação chegar atrasado . precisei repetir algum etapa para concluir . Tentei acompanhar pagamento e performance travar dois vez . travano sitema msg"
"Precisei repetir algumas etapas para concluir. Tentei consultar limite e relatórios travou duas vezes. Recebi erro enquanto tentava consultar limite. O atendimento resolveu rápido a solicitação. Consegui consultar limite, mas depois apareceu erro em login. Depois da atualização relatórios ficou mais simples.",2,Geral,"precisei repetir algum etapa para concluir . Tentei consultar limite e relatório travar dois vez . Recebi erro enquanto tentar consultar limite . o atendimento resolver rápido o solicitação . Consegui consultar limite , mas depois aparecer erro em login . depois de o atualização relatório ficar mais simples ."
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. notificações demorou para responder.,4,Suporte,o notificação chegar atrasado . o suporte pedir novamente o mesmo informação . precisei repetir algum etapa para concluir . notificação demorar para responder .
Achei estranho.,8,Produto,achar estranho .
"Consegui consultar saldo, mas depois apareceu erro em login. Tentei consultar saldo e cadastro travou duas vezes. cadastro demorou para responder. travano vcs",1,Suporte,"Consegui consultar saldo , mas depois aparecer erro em login . Tentei consultar saldo e cadastro travar dois vez . cadastro demorar para responder . travano vcsr"
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava integrar sistema. pagamentos demorou para responder.,3,Produto,precisei repetir algum etapa para concluir . Recebi erro enquanto tentar integrar sistema . pagamento demorar para responder .
"Consegui consultar limite, mas depois apareceu erro em cadastro. Recebi erro enquanto tentava consultar limite. Precisei repetir algumas etapas para concluir. Tentei consultar limite e chat travou duas vezes. O atendimento resolveu rápido a solicitação.",0,Suporte,"Consegui consultar limite , mas depois aparecer erro em cadastro . Recebi erro enquanto tentar consultar limite . Precisei repetir algum etapa para concluir . Tentei consultar limite e chat travar dois vez . o atendimento resolver rápido o solicitação ."
O carregamento dos relatórios demorou. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Tentei consultar saldo e integração travou duas vezes.,9,Geral,o carregamento de o relatório demorar . o notificação chegar atrasado . o atendimento resolver rápido o solicitação . Tentei consultar saldo e integração travar dois vez .
dashboard demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,6,Produto,dashboard demorar para responder . o notificação chegar atrasado . precisei repetir algum etapa para concluir . o atendimento resolver rápido o solicitação . o suporte pedir novamente o mesmo informação .
"Consegui atualizar cadastro, mas depois apareceu erro em cartão virtual. Recebi erro enquanto tentava atualizar cadastro. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. demoro bugou",8,Suporte,"Consegui atualizar cadastro , mas depois aparecer erro em cartão virtual . Recebi erro enquanto tentar atualizar cadastro . o suporte pedir novamente o mesmo informação . precisei repetir algum etapa para concluir . demoro bugar"
Achei estranho.,5,Serviços,achar estranho .
O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei atualizar cadastro e pagamentos travou duas vezes. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava atualizar cadastro. Depois da atualização pagamentos ficou mais simples. platafroma naum,3,Suporte,o suporte pedir novamente o mesmo informação . o carregamento de o relatório demorar . Tentei atualizar cadastro e pagamento travar dois vez . Precisei repetir algum etapa para concluir . Recebi erro enquanto tentar atualizar cadastro . depois de o atualização pagamento ficar mais simples . platafroma naum
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em usabilidade.",7,Serviços,"o suporte pedir novamente o mesmo informação . Consegui consultar saldo , mas depois aparecer erro em usabilidade ."
"O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Depois da atualização limite ficou mais simples. Consegui integrar sistema, mas depois apareceu erro em relatórios. probelma vcs",10,Suporte,"o carregamento de o relatório demorar . o atendimento resolver rápido o solicitação . precisei repetir algum etapa para concluir . depois de o atualização limite ficar mais simples . Consegui integrar sistema , mas depois aparecer erro em relatório . probelma vcs"
"Consegui fazer transferência, mas depois apareceu erro em integração. Depois da atualização relatórios ficou mais simples. O suporte pediu novamente as mesmas informações.",5,Serviços,"Consegui fazer transferência , mas depois aparecer erro em integração . depois de o atualização relatório ficar mais simples . o suporte pedir novamente o mesmo informação ."
"Consegui acompanhar pagamento, mas depois apareceu erro em onboarding. O atendimento resolveu rápido a solicitação. dashboard demorou para responder. Depois da atualização dashboard ficou mais simples. msg ploblema qdo",8,Pós-venda,"Consegui acompanhar pagamento , mas depois aparecer erro em onboarding . o atendimento resolver rápido o solicitação . dashboard demorar para responder . depois de o atualização dashboard ficar mais simples . msg ploblema qdo"
Tentei baixar relatório e API travou duas vezes. O suporte pediu novamente as mesmas informações.,8,Pós-venda,Tentei baixar relatório e API travar dois vez . o suporte pedir novamente o mesmo informação .
Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas.,2,Produto,Recebi erro enquanto tentar baixar relatório . o notificação chegar atrasado .
Sem comentários.,10,Produto,sem comentário .
Nada a declarar.,4,Geral,nada a declarar .
"As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. O carregamento dos relatórios demorou. integração demorou para responder. O suporte pediu novamente as mesmas informações. Consegui acompanhar pagamento, mas depois apareceu erro em chat. qdo demoro vcs",6,Suporte,"o notificação chegar atrasado . depois de o atualização integração ficar mais simples . o carregamento de o relatório demorar . integração demorar para responder . o suporte pedir novamente o mesmo informação . Consegui acompanhar pagamento , mas depois aparecer erro em chat . qdo demoro vcs"
"Consegui emitir boleto, mas depois apareceu erro em cadastro. pagamentos demorou para responder. Recebi erro enquanto tentava emitir boleto. platafroma demoro",3,Pós-venda,"Consegui emitir boleto , mas depois aparecer erro em cadastro . pagamento demorar para responder . Recebi erro enquanto tentar emitir boleto . platafroma demoro"
"Consegui baixar relatório, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações.",0,Produto,"Consegui baixar relatório , mas depois aparecer erro em pagamento . o suporte pedir novamente o mesmo informação ."
"Consegui emitir boleto, mas depois apareceu erro em cartão virtual. notificações demorou para responder. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e notificações travou duas vezes. demoro bugou",10,Serviços,"Consegui emitir boleto , mas depois aparecer erro em cartão virtual . notificação demorar para responder . o suporte pedir novamente o mesmo informação . o notificação chegar atrasado . Recebi erro enquanto tentar emitir boleto . Tentei emitir boleto e notificação travar dois vez . demoro bugar"
"O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Depois da atualização performance ficou mais simples. Consegui consultar limite, mas depois apareceu erro em pagamentos. sitema",7,Pós-venda,"o carregamento de o relatório demorar . Precisei repetir algum etapa para concluir . depois de o atualização performance ficar mais simples . Consegui consultar limite , mas depois aparecer erro em pagamento . sitema"
"Precisei repetir algumas etapas para concluir. Tentei consultar saldo e dashboard travou duas vezes. dashboard demorou para responder. Consegui consultar saldo, mas depois apareceu erro em notificações.",9,Serviços,"precisei repetir algum etapa para concluir . Tentei consultar saldo e dashboard travar dois vez . dashboard demorar para responder . Consegui consultar saldo , mas depois aparecer erro em notificação ."
Depois da atualização chat ficou mais simples. O atendimento resolveu rápido a solicitação.,4,Produto,depois de o atualização chat ficar mais simples . o atendimento resolver rápido o solicitação .
"As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei baixar relatório e extrato travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em cartão virtual. atendimnto vcs",1,Produto,"o notificação chegar atrasado . o carregamento de o relatório demorar . Tentei baixar relatório e extrato travar dois vez . Consegui baixar relatório , mas depois aparecer erro em cartão virtual . atendimnto vcs"
"Tentei baixar relatório e onboarding travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em login. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.",6,Pós-venda,"Tentei baixar relatório e onboarding travar dois vez . Consegui baixar relatório , mas depois aparecer erro em login . o atendimento resolver rápido o solicitação . o suporte pedir novamente o mesmo informação . o carregamento de o relatório demorar ."
"Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e API travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em pagamentos. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. naum",3,Serviços,"Recebi erro enquanto tentar baixar relatório . Tentei baixar relatório e API travar dois vez . Consegui baixar relatório , mas depois aparecer erro em pagamento . o atendimento resolver rápido o solicitação . precisei repetir algum etapa para concluir . naum"
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples.,3,Produto,usabilidade demorar para responder . depois de o atualização usabilidade ficar mais simples .
O carregamento dos relatórios demorou. limite demorou para responder. As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O suporte pediu novamente as mesmas informações.,4,Suporte,o carregamento de o relatório demorar . limite demorar para responder . o notificação chegar atrasado . Recebi erro enquanto tentar acompanhar pagamento . o suporte pedir novamente o mesmo informação .
O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Tentei consultar limite e integração travou duas vezes. integração demorou para responder.,1,Geral,o carregamento de o relatório demorar . o suporte pedir novamente o mesmo informação . Tentei consultar limite e integração travar dois vez . integração demorar para responder .
O carregamento dos relatórios demorou. Depois da atualização limite ficou mais simples. O atendimento resolveu rápido a solicitação. limite demorou para responder. O suporte pediu novamente as mesmas informações.,9,Geral,o carregamento de o relatório demorar . depois de o atualização limite ficar mais simples . o atendimento resolver rápido o solicitação . limite demorar para responder . o suporte pedir novamente o mesmo informação .
As notificações chegaram atrasadas. Tentei consultar limite e performance travou duas vezes. O atendimento resolveu rápido a solicitação.,5,Produto,o notificação chegar atrasado . Tentei consultar limite e performance travar dois vez . o atendimento resolver rápido o solicitação .
Tentei fazer transferência e cadastro travou duas vezes. cadastro demorou para responder. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,6,Serviços,Tentei fazer transferência e cadastro travar dois vez . cadastro demorar para responder . o atendimento resolver rápido o solicitação . o notificação chegar atrasado . precisei repetir algum etapa para concluir .
login demorou para responder. Recebi erro enquanto tentava fazer transferência. Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. sitema travano vcs,8,Produto,login demorar para responder . Recebi erro enquanto tentar fazer transferência . depois de o atualização login ficar mais simples . o notificação chegar atrasado . precisei repetir algum etapa para concluir . sitema travano vcs
"Tentei baixar relatório e cartão virtual travou duas vezes. Recebi erro enquanto tentava baixar relatório. Consegui baixar relatório, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. cartão virtual demorou para responder.",10,Geral,"Tentei baixar relatório e cartão virtual travar dois vez . Recebi erro enquanto tentar baixar relatório . Consegui baixar relatório , mas depois aparecer erro em extrato . o atendimento resolver rápido o solicitação . o notificação chegar atrasado . cartão virtual demorar para responder ."
integração demorou para responder. O suporte pediu novamente as mesmas informações. Tentei emitir boleto e integração travou duas vezes. Depois da atualização integração ficou mais simples. Precisei repetir algumas etapas para concluir.,6,Serviços,integração demorar para responder . o suporte pedir novamente o mesmo informação . Tentei emitir boleto e integração travar dois vez . depois de o atualização integração ficar mais simples . Precisei repetir algum etapa para concluir .
"notificações demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Tentei consultar limite e notificações travou duas vezes. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em relatórios.",5,Suporte,"notificação demorar para responder . precisei repetir algum etapa para concluir . o carregamento de o relatório demorar . Tentei consultar limite e notificação travar dois vez . o suporte pedir novamente o mesmo informação . Consegui consultar limite , mas depois aparecer erro em relatório ."
O suporte pediu novamente as mesmas informações. Tentei atualizar cadastro e limite travou duas vezes. Depois da atualização limite ficou mais simples. limite demorou para responder. O atendimento resolveu rápido a solicitação.,9,Suporte,o suporte pedir novamente o mesmo informação . Tentei atualizar cadastro e limite travar dois vez . depois de o atualização limite ficar mais simples . limite demorar para responder . o atendimento resolver rápido o solicitação .
"Depois da atualização pagamentos ficou mais simples. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em cadastro. Precisei repetir algumas etapas para concluir.",5,Suporte,"depois de o atualização pagamento ficar mais simples . o suporte pedir novamente o mesmo informação . Consegui consultar limite , mas depois aparecer erro em cadastro . Precisei repetir algum etapa para concluir ."
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. bugou qdo demoro,6,Suporte,o notificação chegar atrasado . o suporte pedir novamente o mesmo informação . bugar qdo demoro
"Consegui integrar sistema, mas depois apareceu erro em chat. O suporte pediu novamente as mesmas informações. notificações demorou para responder.",4,Serviços,"Consegui integrar sistema , mas depois aparecer erro em chat . o suporte pedir novamente o mesmo informação . notificação demorar para responder ."
Sem opinião.,10,Geral,sem opinião .
"dashboard demorou para responder. Consegui integrar sistema, mas depois apareceu erro em pagamentos. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.",5,Suporte,"dashboard demorar para responder . Consegui integrar sistema , mas depois aparecer erro em pagamento . precisei repetir algum etapa para concluir . o notificação chegar atrasado . o suporte pedir novamente o mesmo informação ."
