id_comentario,responsavel,termo_original,entidade_aproximada,distancia
19,Pós-venda,usabilidade,usabilidade,0
19,Pós-venda,ploblema,problema,1
19,Pós-venda,sitema,sistema,1
20,Serviços,pagamento,pagamento,0
20,Serviços,erro,erro,0
20,Serviços,pagamento,pagamento,0
20,Serviços,limite,limite,0
20,Serviços,duas,bug,3
20,Serviços,carregamento,carregamento,0
20,Serviços,relatórios,relatorio,2
20,Serviços,atendimento,atendimento,0
20,Serviços,demoro,erro,3
21,Produto,erro,erro,0
21,Produto,transferência,transferencia,1
22,Suporte,erro,erro,0
22,Suporte,consultar,consultor,1
22,Suporte,saldo,saldo,0
22,Suporte,atendimento,atendimento,0
22,Suporte,carregamento,carregamento,0
22,Suporte,relatórios,relatorio,2
23,Serviços,erro,erro,0
23,Serviços,consultar,consultor,1
23,Serviços,saldo,saldo,0
23,Serviços,carregamento,carregamento,0
23,Serviços,relatórios,relatorio,2
23,Serviços,suporte,suporte,0
23,Serviços,pediu,pix,3
23,Serviços,integração,integracao,2
24,Suporte,usabilidade,usabilidade,0
24,Suporte,usabilidade,usabilidade,0
24,Suporte,suporte,suporte,0
24,Suporte,pediu,pix,3
24,Suporte,carregamento,carregamento,0
24,Suporte,relatórios,relatorio,2
26,Suporte,erro,erro,0
26,Suporte,cadastro,cadastro,0
26,Suporte,carregamento,carregamento,0
26,Suporte,relatórios,relatorio,2
26,Suporte,demoro,erro,3
26,Suporte,probelma,problema,2
27,Serviços,relatório,relatorio,1
27,Serviços,onboarding,onboarding,0
27,Serviços,duas,bug,3
27,Serviços,erro,erro,0
27,Serviços,relatório,relatorio,1
27,Serviços,onboarding,onboarding,0
27,Serviços,atendimnto,atendimento,1
28,Serviços,carregamento,carregamento,0
28,Serviços,relatórios,relatorio,2
28,Serviços,relatório,relatorio,1
28,Serviços,duas,bug,3
28,Serviços,erro,erro,0
28,Serviços,relatório,relatorio,1
29,Geral,atendimento,atendimento,0
29,Geral,consultar,consultor,1
29,Geral,saldo,saldo,0
29,Geral,cartão,cartao,1
29,Geral,duas,bug,3
29,Geral,erro,erro,0
29,Geral,consultar,consultor,1
29,Geral,saldo,saldo,0
30,Serviços,usabilidade,usabilidade,0
30,Serviços,consultar,consultor,1
30,Serviços,limite,limite,0
30,Serviços,erro,erro,0
30,Serviços,onboarding,onboarding,0
30,Serviços,erro,erro,0
30,Serviços,consultar,consultor,1
30,Serviços,limite,limite,0
30,Serviços,carregamento,carregamento,0
30,Serviços,relatórios,relatorio,2
30,Serviços,atendimnto,atendimento,1
30,Serviços,sitema,sistema,1
30,Serviços,probelma,problema,2
31,Suporte,relatório,relatorio,1
31,Suporte,erro,erro,0
31,Suporte,onboarding,onboarding,0
31,Suporte,login,login,0
31,Suporte,atendimento,atendimento,0
31,Suporte,probelma,problema,2
32,Suporte,atendimento,atendimento,0
32,Suporte,carregamento,carregamento,0
32,Suporte,relatórios,relatorio,2
33,Produto,erro,erro,0
33,Produto,cadastro,cadastro,0
33,Produto,sitema,sistema,1
33,Produto,demoro,erro,3
34,Pós-venda,cadastro,cadastro,0
34,Pós-venda,duas,bug,3
35,Geral,erro,erro,0
35,Geral,pagamento,pagamento,0
35,Geral,atendimento,atendimento,0
35,Geral,suporte,suporte,0
35,Geral,pediu,pix,3
35,Geral,bugou,bug,2
36,Geral,carregamento,carregamento,0
36,Geral,relatórios,relatorio,2
36,Geral,cartão,cartao,1
36,Geral,consultar,consultor,1
36,Geral,limite,limite,0
36,Geral,erro,erro,0
36,Geral,extrato,extrato,0
36,Geral,cartão,cartao,1
37,Produto,suporte,suporte,0
37,Produto,pediu,pix,3
37,Produto,consultar,consultor,1
37,Produto,saldo,saldo,0
37,Produto,erro,erro,0
37,Produto,cartão,cartao,1
37,Produto,pagamentos,pagamento,1
38,Serviços,erro,erro,0
38,Serviços,relatório,relatorio,1
38,Serviços,suporte,suporte,0
38,Serviços,pediu,pix,3
38,Serviços,atendimento,atendimento,0
39,Suporte,erro,erro,0
39,Suporte,relatório,relatorio,1
39,Suporte,login,login,0
39,Suporte,atendimento,atendimento,0
39,Suporte,suporte,suporte,0
39,Suporte,pediu,pix,3
40,Produto,consultar,consultor,1
40,Produto,saldo,saldo,0
40,Produto,erro,erro,0
40,Produto,performance,performance,0
40,Produto,naum,api,3
40,Produto,platafroma,plataforma,2
41,Produto,carregamento,carregamento,0
41,Produto,relatórios,relatorio,2
41,Produto,integração,integracao,2
41,Produto,suporte,suporte,0
41,Produto,pediu,pix,3
42,Suporte,integração,integracao,2
42,Suporte,cadastro,cadastro,0
42,Suporte,erro,erro,0
42,Suporte,suporte,suporte,0
42,Suporte,pediu,pix,3
42,Suporte,carregamento,carregamento,0
42,Suporte,relatórios,relatorio,2
42,Suporte,cadastro,cadastro,0
42,Suporte,integração,integracao,2
42,Suporte,duas,bug,3
42,Suporte,integração,integracao,2
42,Suporte,atendimnto,atendimento,1
42,Suporte,naum,api,3
43,Suporte,sitema,sistema,1
44,Suporte,integração,integracao,2
44,Suporte,consultar,consultor,1
44,Suporte,saldo,saldo,0
44,Suporte,integração,integracao,2
44,Suporte,duas,bug,3
44,Suporte,integração,integracao,2
44,Suporte,consultar,consultor,1
44,Suporte,saldo,saldo,0
44,Suporte,erro,erro,0
45,Pós-venda,pagamento,pagamento,0
45,Pós-venda,erro,erro,0
45,Pós-venda,relatórios,relatorio,2
45,Pós-venda,suporte,suporte,0
45,Pós-venda,pediu,pix,3
45,Pós-venda,pagamento,pagamento,0
45,Pós-venda,performance,performance,0
45,Pós-venda,duas,bug,3
45,Pós-venda,sitema,sistema,1
46,Geral,consultar,consultor,1
46,Geral,limite,limite,0
46,Geral,relatórios,relatorio,2
46,Geral,duas,bug,3
46,Geral,erro,erro,0
46,Geral,consultar,consultor,1
46,Geral,limite,limite,0
46,Geral,atendimento,atendimento,0
46,Geral,consultar,consultor,1
46,Geral,limite,limite,0
46,Geral,erro,erro,0
46,Geral,login,login,0
46,Geral,relatórios,relatorio,2
47,Suporte,suporte,suporte,0
47,Suporte,pediu,pix,3
48,Produto,achei,api,3
48,Produto,estranho,extrato,3
49,Suporte,consultar,consultor,1
49,Suporte,saldo,saldo,0
49,Suporte,erro,erro,0
49,Suporte,login,login,0
49,Suporte,consultar,consultor,1
49,Suporte,saldo,saldo,0
49,Suporte,cadastro,cadastro,0
49,Suporte,duas,bug,3
49,Suporte,cadastro,cadastro,0
50,Produto,erro,erro,0
50,Produto,integrar,integracao,3
50,Produto,sistema,sistema,0
50,Produto,pagamentos,pagamento,1
51,Suporte,consultar,consultor,1
51,Suporte,limite,limite,0
51,Suporte,erro,erro,0
51,Suporte,cadastro,cadastro,0
51,Suporte,erro,erro,0
51,Suporte,consultar,consultor,1
51,Suporte,limite,limite,0
51,Suporte,consultar,consultor,1
51,Suporte,limite,limite,0
51,Suporte,duas,bug,3
51,Suporte,atendimento,atendimento,0
52,Geral,carregamento,carregamento,0
52,Geral,relatórios,relatorio,2
52,Geral,atendimento,atendimento,0
52,Geral,consultar,consultor,1
52,Geral,saldo,saldo,0
52,Geral,integração,integracao,2
52,Geral,duas,bug,3
53,Produto,dashboard,dashboard,0
53,Produto,atendimento,atendimento,0
53,Produto,suporte,suporte,0
53,Produto,pediu,pix,3
54,Suporte,cadastro,cadastro,0
54,Suporte,erro,erro,0
54,Suporte,cartão,cartao,1
54,Suporte,erro,erro,0
54,Suporte,cadastro,cadastro,0
54,Suporte,suporte,suporte,0
54,Suporte,pediu,pix,3
54,Suporte,demoro,erro,3
54,Suporte,bugou,bug,2
55,Serviços,achei,api,3
55,Serviços,estranho,extrato,3
56,Suporte,suporte,suporte,0
56,Suporte,pediu,pix,3
56,Suporte,carregamento,carregamento,0
56,Suporte,relatórios,relatorio,2
56,Suporte,cadastro,cadastro,0
56,Suporte,pagamentos,pagamento,1
56,Suporte,duas,bug,3
56,Suporte,erro,erro,0
56,Suporte,cadastro,cadastro,0
56,Suporte,pagamentos,pagamento,1
56,Suporte,platafroma,plataforma,2
56,Suporte,naum,api,3
57,Serviços,suporte,suporte,0
57,Serviços,pediu,pix,3
57,Serviços,consultar,consultor,1
57,Serviços,saldo,saldo,0
57,Serviços,erro,erro,0
57,Serviços,usabilidade,usabilidade,0
58,Suporte,carregamento,carregamento,0
58,Suporte,relatórios,relatorio,2
58,Suporte,atendimento,atendimento,0
58,Suporte,limite,limite,0
58,Suporte,integrar,integracao,3
58,Suporte,sistema,sistema,0
58,Suporte,erro,erro,0
58,Suporte,relatórios,relatorio,2
58,Suporte,probelma,problema,2
59,Serviços,transferência,transferencia,1
59,Serviços,erro,erro,0
59,Serviços,integração,integracao,2
59,Serviços,relatórios,relatorio,2
59,Serviços,suporte,suporte,0
59,Serviços,pediu,pix,3
60,Pós-venda,pagamento,pagamento,0
60,Pós-venda,erro,erro,0
60,Pós-venda,onboarding,onboarding,0
60,Pós-venda,atendimento,atendimento,0
60,Pós-venda,dashboard,dashboard,0
60,Pós-venda,dashboard,dashboard,0
60,Pós-venda,ploblema,problema,1
61,Pós-venda,relatório,relatorio,1
61,Pós-venda,duas,bug,3
61,Pós-venda,suporte,suporte,0
61,Pós-venda,pediu,pix,3
62,Produto,erro,erro,0
62,Produto,relatório,relatorio,1
64,Geral,nada,api,3
65,Suporte,integração,integracao,2
65,Suporte,carregamento,carregamento,0
65,Suporte,relatórios,relatorio,2
65,Suporte,integração,integracao,2
65,Suporte,suporte,suporte,0
65,Suporte,pediu,pix,3
65,Suporte,pagamento,pagamento,0
65,Suporte,erro,erro,0
65,Suporte,demoro,erro,3
66,Pós-venda,boleto,boleto,0
66,Pós-venda,erro,erro,0
66,Pós-venda,cadastro,cadastro,0
66,Pós-venda,pagamentos,pagamento,1
66,Pós-venda,erro,erro,0
66,Pós-venda,boleto,boleto,0
66,Pós-venda,platafroma,plataforma,2
66,Pós-venda,demoro,erro,3
67,Produto,relatório,relatorio,1
67,Produto,erro,erro,0
67,Produto,pagamentos,pagamento,1
67,Produto,suporte,suporte,0
67,Produto,pediu,pix,3
68,Serviços,boleto,boleto,0
68,Serviços,erro,erro,0
68,Serviços,cartão,cartao,1
68,Serviços,suporte,suporte,0
68,Serviços,pediu,pix,3
68,Serviços,erro,erro,0
68,Serviços,boleto,boleto,0
68,Serviços,boleto,boleto,0
68,Serviços,duas,bug,3
68,Serviços,demoro,erro,3
68,Serviços,bugou,bug,2
69,Pós-venda,carregamento,carregamento,0
69,Pós-venda,relatórios,relatorio,2
69,Pós-venda,performance,performance,0
69,Pós-venda,consultar,consultor,1
69,Pós-venda,limite,limite,0
69,Pós-venda,erro,erro,0
69,Pós-venda,pagamentos,pagamento,1
69,Pós-venda,sitema,sistema,1
70,Serviços,consultar,consultor,1
70,Serviços,saldo,saldo,0
70,Serviços,dashboard,dashboard,0
70,Serviços,duas,bug,3
70,Serviços,dashboard,dashboard,0
70,Serviços,consultar,consultor,1
70,Serviços,saldo,saldo,0
70,Serviços,erro,erro,0
71,Produto,atendimento,atendimento,0
72,Produto,carregamento,carregamento,0
72,Produto,relatórios,relatorio,2
72,Produto,relatório,relatorio,1
72,Produto,extrato,extrato,0
72,Produto,duas,bug,3
72,Produto,relatório,relatorio,1
72,Produto,erro,erro,0
72,Produto,cartão,cartao,1
72,Produto,atendimnto,atendimento,1
73,Pós-venda,relatório,relatorio,1
73,Pós-venda,onboarding,onboarding,0
73,Pós-venda,duas,bug,3
73,Pós-venda,relatório,relatorio,1
73,Pós-venda,erro,erro,0
73,Pós-venda,login,login,0
73,Pós-venda,atendimento,atendimento,0
73,Pós-venda,suporte,suporte,0
73,Pós-venda,pediu,pix,3
73,Pós-venda,carregamento,carregamento,0
73,Pós-venda,relatórios,relatorio,2
74,Serviços,erro,erro,0
74,Serviços,relatório,relatorio,1
74,Serviços,relatório,relatorio,1
74,Serviços,duas,bug,3
74,Serviços,relatório,relatorio,1
74,Serviços,erro,erro,0
74,Serviços,pagamentos,pagamento,1
74,Serviços,atendimento,atendimento,0
74,Serviços,naum,api,3
75,Produto,usabilidade,usabilidade,0
75,Produto,usabilidade,usabilidade,0
76,Suporte,carregamento,carregamento,0
76,Suporte,relatórios,relatorio,2
76,Suporte,limite,limite,0
76,Suporte,erro,erro,0
76,Suporte,pagamento,pagamento,0
76,Suporte,suporte,suporte,0
76,Suporte,pediu,pix,3
77,Geral,carregamento,carregamento,0
77,Geral,relatórios,relatorio,2
77,Geral,suporte,suporte,0
77,Geral,pediu,pix,3
77,Geral,consultar,consultor,1
77,Geral,limite,limite,0
77,Geral,integração,integracao,2
77,Geral,duas,bug,3
77,Geral,integração,integracao,2
78,Geral,carregamento,carregamento,0
78,Geral,relatórios,relatorio,2
78,Geral,limite,limite,0
78,Geral,atendimento,atendimento,0
78,Geral,limite,limite,0
78,Geral,suporte,suporte,0
78,Geral,pediu,pix,3
79,Produto,consultar,consultor,1
79,Produto,limite,limite,0
79,Produto,performance,performance,0
79,Produto,duas,bug,3
79,Produto,atendimento,atendimento,0
80,Serviços,transferência,transferencia,1
80,Serviços,cadastro,cadastro,0
80,Serviços,duas,bug,3
80,Serviços,cadastro,cadastro,0
80,Serviços,atendimento,atendimento,0
81,Produto,login,login,0
81,Produto,erro,erro,0
81,Produto,transferência,transferencia,1
81,Produto,login,login,0
81,Produto,sitema,sistema,1
82,Geral,relatório,relatorio,1
82,Geral,cartão,cartao,1
82,Geral,duas,bug,3
82,Geral,erro,erro,0
82,Geral,relatório,relatorio,1
82,Geral,relatório,relatorio,1
82,Geral,erro,erro,0
82,Geral,extrato,extrato,0
82,Geral,atendimento,atendimento,0
82,Geral,cartão,cartao,1
83,Serviços,integração,integracao,2
83,Serviços,suporte,suporte,0
83,Serviços,pediu,pix,3
83,Serviços,boleto,boleto,0
83,Serviços,integração,integracao,2
83,Serviços,duas,bug,3
83,Serviços,integração,integracao,2
84,Suporte,carregamento,carregamento,0
84,Suporte,relatórios,relatorio,2
84,Suporte,consultar,consultor,1
84,Suporte,limite,limite,0
84,Suporte,duas,bug,3
84,Suporte,suporte,suporte,0
84,Suporte,pediu,pix,3
84,Suporte,consultar,consultor,1
84,Suporte,limite,limite,0
84,Suporte,erro,erro,0
84,Suporte,relatórios,relatorio,2
85,Suporte,suporte,suporte,0
85,Suporte,pediu,pix,3
85,Suporte,cadastro,cadastro,0
85,Suporte,limite,limite,0
85,Suporte,duas,bug,3
85,Suporte,limite,limite,0
85,Suporte,limite,limite,0
85,Suporte,atendimento,atendimento,0
86,Suporte,pagamentos,pagamento,1
86,Suporte,suporte,suporte,0
86,Suporte,pediu,pix,3
86,Suporte,consultar,consultor,1
86,Suporte,limite,limite,0
86,Suporte,erro,erro,0
86,Suporte,cadastro,cadastro,0
87,Suporte,suporte,suporte,0
87,Suporte,pediu,pix,3
87,Suporte,bugou,bug,2
87,Suporte,demoro,erro,3
88,Serviços,integrar,integracao,3
88,Serviços,sistema,sistema,0
88,Serviços,erro,erro,0
88,Serviços,suporte,suporte,0
88,Serviços,pediu,pix,3
90,Suporte,dashboard,dashboard,0
90,Suporte,integrar,integracao,3
90,Suporte,sistema,sistema,0
90,Suporte,erro,erro,0
90,Suporte,pagamentos,pagamento,1
90,Suporte,suporte,suporte,0
90,Suporte,pediu,pix,3
91,Produto,suporte,suporte,0
91,Produto,pediu,pix,3
91,Produto,atendimento,atendimento,0
91,Produto,erro,erro,0
91,Produto,cadastro,cadastro,0
91,Produto,cadastro,cadastro,0
91,Produto,erro,erro,0
91,Produto,cadastro,cadastro,0
91,Produto,onboarding,onboarding,0
91,Produto,duas,bug,3
92,Serviços,integrar,integracao,3
92,Serviços,sistema,sistema,0
92,Serviços,integração,integracao,2
92,Serviços,duas,bug,3
92,Serviços,platafroma,plataforma,2
93,Produto,integrar,integracao,3
93,Produto,sistema,sistema,0
93,Produto,erro,erro,0
93,Produto,onboarding,onboarding,0
93,Produto,cartão,cartao,1
93,Produto,atendimnto,atendimento,1
93,Produto,demoro,erro,3
93,Produto,probelma,problema,2
94,Serviços,erro,erro,0
94,Serviços,cadastro,cadastro,0
94,Serviços,usabilidade,usabilidade,0
94,Serviços,cadastro,cadastro,0
94,Serviços,usabilidade,usabilidade,0
94,Serviços,duas,bug,3
94,Serviços,usabilidade,usabilidade,0
94,Serviços,carregamento,carregamento,0
94,Serviços,relatórios,relatorio,2
95,Suporte,carregamento,carregamento,0
95,Suporte,relatórios,relatorio,2
95,Suporte,relatório,relatorio,1
95,Suporte,erro,erro,0
95,Suporte,cartão,cartao,1
96,Geral,pagamentos,pagamento,1
96,Geral,integrar,integracao,3
96,Geral,sistema,sistema,0
96,Geral,erro,erro,0
96,Geral,login,login,0
97,Suporte,suporte,suporte,0
97,Suporte,pediu,pix,3
97,Suporte,platafroma,plataforma,2
98,Suporte,consultar,consultor,1
98,Suporte,saldo,saldo,0
98,Suporte,erro,erro,0
98,Suporte,login,login,0
98,Suporte,consultar,consultor,1
98,Suporte,saldo,saldo,0
98,Suporte,duas,bug,3
99,Produto,integrar,integracao,3
99,Produto,sistema,sistema,0
99,Produto,onboarding,onboarding,0
99,Produto,duas,bug,3
99,Produto,suporte,suporte,0
99,Produto,pediu,pix,3
100,Suporte,integração,integracao,2
100,Suporte,boleto,boleto,0
100,Suporte,integração,integracao,2
100,Suporte,duas,bug,3
100,Suporte,demoro,erro,3
101,Produto,erro,erro,0
101,Produto,consultar,consultor,1
101,Produto,limite,limite,0
101,Produto,consultar,consultor,1
101,Produto,limite,limite,0
101,Produto,erro,erro,0
101,Produto,performance,performance,0
101,Produto,suporte,suporte,0
101,Produto,pediu,pix,3
102,Produto,cadastro,cadastro,0
102,Produto,login,login,0
102,Produto,duas,bug,3
102,Produto,login,login,0
102,Produto,cadastro,cadastro,0
102,Produto,erro,erro,0
102,Produto,performance,performance,0
105,Serviços,carregamento,carregamento,0
105,Serviços,relatórios,relatorio,2
105,Serviços,erro,erro,0
105,Serviços,cadastro,cadastro,0
105,Serviços,atendimento,atendimento,0
105,Serviços,naum,api,3
105,Serviços,probelma,problema,2
106,Produto,erro,erro,0
106,Produto,consultar,consultor,1
106,Produto,limite,limite,0
106,Produto,atendimento,atendimento,0
106,Produto,onboarding,onboarding,0
106,Produto,carregamento,carregamento,0
106,Produto,relatórios,relatorio,2
108,Suporte,transferência,transferencia,1
108,Suporte,extrato,extrato,0
108,Suporte,duas,bug,3
108,Suporte,carregamento,carregamento,0
108,Suporte,relatórios,relatorio,2
108,Suporte,atendimento,atendimento,0
108,Suporte,extrato,extrato,0
108,Suporte,transferência,transferencia,1
108,Suporte,erro,erro,0
108,Suporte,integração,integracao,2
108,Suporte,sitema,sistema,1
108,Suporte,ploblema,problema,1
109,Serviços,transferência,transferencia,1
109,Serviços,erro,erro,0
109,Serviços,erro,erro,0
109,Serviços,transferência,transferencia,1
109,Serviços,atendimento,atendimento,0
109,Serviços,suporte,suporte,0
109,Serviços,pediu,pix,3
109,Serviços,demoro,erro,3
109,Serviços,probelma,problema,2
110,Geral,suporte,suporte,0
110,Geral,pediu,pix,3
110,Geral,consultar,consultor,1
110,Geral,saldo,saldo,0
110,Geral,onboarding,onboarding,0
110,Geral,duas,bug,3
110,Geral,onboarding,onboarding,0
110,Geral,onboarding,onboarding,0
110,Geral,atendimento,atendimento,0
111,Produto,consultar,consultor,1
111,Produto,limite,limite,0
111,Produto,duas,bug,3
111,Produto,probelma,problema,2
111,Produto,sitema,sistema,1
112,Produto,performance,performance,0
113,Suporte,cadastro,cadastro,0
113,Suporte,suporte,suporte,0
113,Suporte,pediu,pix,3
113,Suporte,erro,erro,0
113,Suporte,relatório,relatorio,1
113,Suporte,relatório,relatorio,1
113,Suporte,cadastro,cadastro,0
113,Suporte,duas,bug,3
113,Suporte,ploblema,problema,1
114,Serviços,consultar,consultor,1
114,Serviços,saldo,saldo,0
114,Serviços,cadastro,cadastro,0
114,Serviços,duas,bug,3
114,Serviços,carregamento,carregamento,0
114,Serviços,relatórios,relatorio,2
115,Serviços,login,login,0
115,Serviços,consultar,consultor,1
115,Serviços,limite,limite,0
115,Serviços,erro,erro,0
115,Serviços,limite,limite,0
117,Produto,suporte,suporte,0
117,Produto,pediu,pix,3
117,Produto,consultar,consultor,1
117,Produto,limite,limite,0
117,Produto,onboarding,onboarding,0
117,Produto,duas,bug,3
117,Produto,consultar,consultor,1
117,Produto,limite,limite,0
117,Produto,erro,erro,0
117,Produto,extrato,extrato,0
117,Produto,carregamento,carregamento,0
117,Produto,relatórios,relatorio,2
118,Suporte,erro,erro,0
118,Suporte,boleto,boleto,0
118,Suporte,boleto,boleto,0
118,Suporte,erro,erro,0
118,Suporte,extrato,extrato,0
118,Suporte,suporte,suporte,0
118,Suporte,pediu,pix,3
118,Suporte,carregamento,carregamento,0
118,Suporte,relatórios,relatorio,2
119,Produto,carregamento,carregamento,0
119,Produto,relatórios,relatorio,2
119,Produto,erro,erro,0
119,Produto,transferência,transferencia,1
120,Suporte,erro,erro,0
120,Suporte,transferência,transferencia,1
120,Suporte,onboarding,onboarding,0
120,Suporte,suporte,suporte,0
120,Suporte,pediu,pix,3
121,Suporte,atendimento,atendimento,0
121,Suporte,carregamento,carregamento,0
121,Suporte,relatórios,relatorio,2
121,Suporte,erro,erro,0
121,Suporte,relatório,relatorio,1
121,Suporte,relatório,relatorio,1
121,Suporte,erro,erro,0
121,Suporte,relatório,relatorio,1
121,Suporte,integração,integracao,2
121,Suporte,duas,bug,3
122,Serviços,extrato,extrato,0
122,Serviços,boleto,boleto,0
122,Serviços,extrato,extrato,0
122,Serviços,duas,bug,3
122,Serviços,carregamento,carregamento,0
122,Serviços,relatórios,relatorio,2
123,Geral,carregamento,carregamento,0
123,Geral,relatórios,relatorio,2
123,Geral,relatório,relatorio,1
123,Geral,relatórios,relatorio,2
123,Geral,duas,bug,3
123,Geral,relatórios,relatorio,2
123,Geral,suporte,suporte,0
123,Geral,pediu,pix,3
123,Geral,erro,erro,0
123,Geral,relatório,relatorio,1
123,Geral,naum,api,3
124,Pós-venda,carregamento,carregamento,0
124,Pós-venda,relatórios,relatorio,2
124,Pós-venda,usabilidade,usabilidade,0
124,Pós-venda,platafroma,plataforma,2
124,Pós-venda,bugou,bug,2
124,Pós-venda,naum,api,3
125,Produto,atendimento,atendimento,0
125,Produto,consultar,consultor,1
125,Produto,limite,limite,0
125,Produto,usabilidade,usabilidade,0
125,Produto,duas,bug,3
125,Produto,carregamento,carregamento,0
125,Produto,relatórios,relatorio,2
125,Produto,usabilidade,usabilidade,0
125,Produto,sitema,sistema,1
125,Produto,ploblema,problema,1
126,Serviços,erro,erro,0
126,Serviços,transferência,transferencia,1
126,Serviços,atendimento,atendimento,0
126,Serviços,carregamento,carregamento,0
126,Serviços,relatórios,relatorio,2
127,Serviços,atendimento,atendimento,0
127,Serviços,performance,performance,0
127,Serviços,carregamento,carregamento,0
127,Serviços,relatórios,relatorio,2
127,Serviços,suporte,suporte,0
127,Serviços,pediu,pix,3
127,Serviços,sitema,sistema,1
127,Serviços,naum,api,3
127,Serviços,atendimnto,atendimento,1
128,Suporte,relatório,relatorio,1
128,Suporte,erro,erro,0
