id_comentario,responsavel,entidade,tipo
84,Suporte,Tentei,PER
85,Suporte,Tentei,PER
86,Suporte,Precisei,LOC
90,Suporte,dashboard,PER
90,Suporte,Precisei,LOC
91,Produto,Tentei,PER
92,Serviços,Tentei,PER
94,Serviços,Tentei,PER
96,Geral,Precisei,LOC
98,Suporte,chat,PER
98,Suporte,Precisei,LOC
98,Suporte,Tentei,PER
99,Produto,Precisei,LOC
99,Produto,Tentei,PER
100,Suporte,Tentei,PER
101,Produto,Precisei,LOC
102,Produto,Tentei,PER
102,Produto,Precisei,LOC
103,Suporte,Normal,LOC
104,Produto,Regular,LOC
105,Serviços,Precisei,LOC
105,Serviços,naum probelma,PER
106,Produto,onboarding,PER
106,Produto,travano,LOC
107,Pós-venda,Normal,LOC
108,Suporte,Tentei,PER
108,Suporte,Precisei,LOC
109,Serviços,demoro probelma,PER
110,Geral,Tentei,PER
110,Geral,onboarding,PER
111,Produto,Tentei,PER
112,Produto,Precisei,LOC
113,Suporte,Precisei,LOC
113,Suporte,Tentei,PER
114,Serviços,Tentei,PER
116,Geral,Ok,LOC
117,Produto,Precisei,LOC
117,Produto,Tentei,PER
120,Suporte,onboarding,PER
121,Suporte,Precisei,LOC
121,Suporte,Tentei,PER
122,Serviços,Precisei,LOC
122,Serviços,Tentei,PER
122,Serviços,vcs travano,PER
123,Geral,Tentei,PER
123,Geral,naum,LOC
124,Pós-venda,naum,LOC
125,Produto,Tentei,PER
125,Produto,Precisei,LOC
126,Serviços,chat,PER
127,Serviços,Precisei,LOC
127,Serviços,naum,LOC
128,Suporte,naum,LOC
130,Geral,Precisei,LOC
132,Geral,Precisei,LOC
133,Geral,Precisei,LOC
134,Produto,Tentei,PER
134,Produto,dashboard,LOC
135,Suporte,Precisei,LOC
135,Suporte,Tentei,PER
136,Produto,Tentei,PER
136,Produto,naum,LOC
137,Pós-venda,Tentei,PER
137,Pós-venda,dashboard,PER
137,Pós-venda,demoro platafroma vcs,PER
138,Suporte,Tentei,PER
139,Suporte,Precisei,LOC
143,Produto,Tentei,PER
143,Produto,Precisei,LOC
144,Suporte,Tentei,PER
144,Suporte,onboarding,MISC
145,Suporte,Precisei,LOC
145,Suporte,dashboard,PER
146,Produto,dashboard,PER
147,Produto,Tentei,PER
150,Pós-venda,cadastro,LOC
150,Pós-venda,travano ploblema,PER
152,Produto,Tentei,PER
152,Produto,dashboard,PER
157,Produto,Tentei,PER
158,Produto,ploblema msg,PER
159,Serviços,Precisei,LOC
159,Serviços,Tentei,PER
160,Suporte,Precisei,LOC
160,Suporte,Tentei,PER
161,Serviços,Tentei,PER
162,Suporte,onboarding,PER
163,Suporte,Tentei,PER
164,Geral,onboarding,PER
166,Produto,Precisei,LOC
167,Suporte,Tentei,PER
168,Suporte,Tentei,PER
169,Produto,Tentei,PER
169,Produto,Precisei,LOC
170,Produto,Precisei,LOC
171,Produto,Tentei,PER
171,Produto,Precisei,LOC
173,Suporte,Precisei,LOC
174,Suporte,Tentei,PER
175,Produto,travano platafroma,PER
177,Suporte,naum,PER
178,Geral,Precisei,LOC
178,Geral,ploblema naum,PER
179,Suporte,Precisei,LOC
179,Suporte,Tentei,PER
181,Pós-venda,Precisei,LOC
182,Geral,Tentei,PER
183,Produto,Tentei,PER
185,Suporte,Precisei,LOC
186,Geral,dashboard,PER
187,Suporte,Precisei,LOC
187,Suporte,Tentei,PER
190,Serviços,Precisei,LOC
190,Serviços,naum probelma demoro,PER
191,Produto,Precisei,LOC
192,Produto,Tentei,PER
192,Produto,Precisei,LOC
195,Pós-venda,naum msg,ORG
196,Serviços,Precisei,LOC
196,Serviços,msg ploblema,PER
198,Serviços,Precisei,LOC
198,Serviços,Tentei,PER
198,Serviços,dashboard,PER
199,Suporte,Precisei,LOC
200,Produto,Tentei,PER
202,Produto,Precisei,LOC
204,Serviços,Normal,LOC
205,Suporte,Tentei,PER
207,Suporte,Precisei,LOC
210,Produto,Tentei,PER
210,Produto,Precisei,LOC
212,Suporte,Tentei,PER
212,Suporte,Precisei,LOC
217,Serviços,Tentei,PER
217,Serviços,Precisei,LOC
218,Suporte,Tentei,PER
221,Produto,Regular,LOC
223,Suporte,Precisei,LOC
223,Suporte,Tentei,PER
224,Produto,Precisei,LOC
224,Produto,Tentei,PER
224,Produto,dashboard,PER
224,Produto,vcs demoro travano,PER
226,Produto,Precisei,LOC
227,Suporte,Precisei,LOC
228,Produto,Precisei,LOC
231,Produto,dashboard,PER
231,Produto,Precisei,LOC
232,Produto,Tentei,PER
232,Produto,Precisei,LOC
233,Pós-venda,dashboard,LOC
234,Produto,Precisei,LOC
234,Produto,Tentei,PER
236,Produto,Tentei,PER
236,Produto,Precisei,LOC
237,Geral,Precisei,LOC
242,Produto,chat,PER
243,Produto,Tentei,PER
243,Produto,onboarding,PER
244,Pós-venda,Precisei,LOC
244,Pós-venda,Tentei,PER
244,Pós-venda,ploblema,PER
245,Suporte,Tentei,PER
247,Suporte,Precisei,LOC
248,Geral,Precisei,LOC
250,Suporte,onboarding,PER
251,Produto,Tentei,PER
251,Produto,Precisei,LOC
253,Produto,Tentei,PER
254,Geral,Tentei,PER
256,Suporte,Tentei,PER
259,Geral,Precisei,LOC
259,Geral,limite,PER
260,Suporte,Precisei,LOC
260,Suporte,Tentei,PER
263,Serviços,Precisei,LOC
265,Pós-venda,onboarding,PER
265,Pós-venda,vcs qdo ploblema,PER
266,Suporte,Precisei,LOC
266,Suporte,Tentei,PER
267,Suporte,Precisei,LOC
268,Geral,Precisei,LOC
268,Geral,Tentei,PER
270,Serviços,Precisei,LOC
271,Suporte,Tentei,PER
271,Suporte,Precisei,LOC
273,Suporte,Tentei,PER
273,Suporte,dashboard,PER
274,Suporte,Tentei,PER
275,Serviços,chat,PER
275,Serviços,Tentei,PER
275,Serviços,Precisei,LOC
277,Suporte,Tentei,PER
277,Suporte,dashboard,PER
278,Geral,Precisei,LOC
279,Produto,Precisei,LOC
280,Produto,Tentei,PER
281,Suporte,Tentei,PER
281,Suporte,naum,LOC
282,Serviços,Normal,LOC
288,Serviços,Tentei,PER
288,Serviços,Precisei,LOC
292,Produto,Tentei,PER
295,Pós-venda,Tentei,PER
296,Produto,Tentei,PER
297,Geral,cadastro,LOC
298,Produto,Precisei,LOC
298,Produto,ploblema,LOC
299,Suporte,Precisei,LOC
303,Serviços,Tentei,PER
303,Serviços,dashboard,PER
303,Serviços,Precisei,LOC
304,Suporte,Precisei,LOC
304,Suporte,Tentei,PER
305,Produto,Precisei,LOC
305,Produto,Tentei,PER
305,Produto,naum platafroma msg,PER
306,Suporte,Tentei,PER
306,Suporte,onboarding,LOC
306,Suporte,vcs platafroma,PER
307,Geral,msg,ORG
308,Produto,Tentei,PER
308,Produto,Precisei,LOC
309,Produto,onboarding,LOC
312,Serviços,ploblema naum,PER
313,Produto,demoro vcs travano,PER
314,Produto,Precisei,LOC
316,Suporte,Precisei,LOC
317,Serviços,Precisei,LOC
319,Geral,Tentei,PER
319,Geral,Precisei,LOC
320,Geral,Tentei,PER
320,Geral,platafroma,LOC
321,Serviços,Tentei,PER
321,Serviços,Precisei,LOC
322,Serviços,Tentei,PER
322,Serviços,Precisei,LOC
323,Serviços,Tentei,PER
324,Produto,Precisei,LOC
324,Produto,Tentei,PER
325,Serviços,Precisei,LOC
325,Serviços,dashboard,PER
326,Pós-venda,Precisei,LOC
327,Serviços,Tentei,PER
328,Serviços,Tentei,PER
328,Serviços,naum,LOC
330,Geral,Tentei,PER
330,Geral,naum ploblema,MISC
331,Produto,Precisei,LOC
333,Serviços,Precisei,LOC
334,Geral,cadastro,LOC
335,Suporte,Precisei,LOC
336,Suporte,Tentei,PER
336,Suporte,ploblema naum demoro,PER
341,Serviços,Precisei,LOC
341,Serviços,naum,LOC
342,Suporte,Tentei,PER
343,Geral,Tentei,PER
344,Serviços,Precisei,LOC
345,Suporte,Tentei,PER
346,Geral,Precisei,LOC
347,Geral,Tentei,PER
347,Geral,limite,PER
347,Geral,naum demoro travano,PER
349,Suporte,Precisei,LOC
350,Suporte,Precisei,LOC
350,Suporte,Tentei,PER
352,Produto,Precisei,LOC
352,Produto,vcs demoro,PER
353,Pós-venda,Precisei,LOC
353,Pós-venda,Tentei,PER
354,Produto,Precisei,LOC
354,Produto,Tentei,PER
354,Produto,ploblema naum,PER
357,Geral,Tentei,PER
358,Suporte,Precisei,LOC
362,Produto,Tentei,PER
362,Produto,Precisei,LOC
364,Suporte,Precisei,LOC
364,Suporte,Tentei,PER
365,Produto,Precisei,LOC
366,Serviços,Precisei,LOC
367,Serviços,Tentei,PER
368,Pós-venda,Regular,LOC
369,Produto,dashboard,PER
371,Produto,Tentei,PER
374,Produto,Precisei,LOC
375,Produto,onboarding,PER
375,Produto,Tentei,PER
378,Geral,Tentei,PER
378,Geral,demoro vcs,PER
379,Suporte,Precisei,LOC
381,Produto,Tentei,PER
384,Geral,Tentei,PER
386,Suporte,Precisei,LOC
386,Suporte,Tentei,PER
387,Serviços,Precisei,LOC
388,Suporte,Tentei,PER
390,Pós-venda,Precisei,LOC
391,Produto,Precisei,LOC
393,Serviços,Tentei,PER
393,Serviços,Precisei,LOC
394,Serviços,naum,LOC
395,Produto,Precisei,LOC
395,Produto,Tentei,PER
397,Produto,Tentei,PER
397,Produto,naum,LOC
398,Suporte,Tentei,PER
399,Produto,onboarding,PER
399,Produto,Precisei,LOC
401,Produto,Precisei,LOC
401,Produto,Tentei,PER
401,Produto,dashboard,LOC
402,Geral,Tentei,PER
404,Suporte,Tentei,PER
404,Suporte,dashboard,PER
405,Produto,Precisei,LOC
408,Pós-venda,Precisei,LOC
408,Pós-venda,Tentei,PER
410,Serviços,Tentei,PER
412,Produto,Tentei,PER
413,Serviços,Tentei,PER
414,Produto,Tentei,PER
414,Produto,Precisei,LOC
415,Produto,Precisei,LOC
416,Serviços,Precisei,LOC
417,Suporte,Precisei,LOC
419,Geral,Precisei,LOC
419,Geral,msg,ORG
420,Suporte,Tentei,PER
420,Suporte,cadastro,LOC
421,Geral,Tentei,PER
421,Geral,Precisei,LOC
422,Produto,onboarding,PER
424,Produto,Precisei,LOC
425,Serviços,onboarding,PER
425,Serviços,Tentei,PER
426,Produto,Tentei,PER
426,Produto,Precisei,LOC
427,Serviços,Tentei,PER
427,Serviços,demoro probelma,PER
428,Produto,Precisei,LOC
428,Produto,Tentei,PER
429,Pós-venda,Precisei,LOC
429,Pós-venda,Tentei,PER
429,Pós-venda,travano ploblema,PER
430,Serviços,Precisei,LOC
430,Serviços,Tentei,PER
431,Suporte,naum vcs,PER
437,Geral,Tentei,PER
438,Serviços,Precisei,LOC
440,Suporte,Precisei,LOC
440,Suporte,naum,LOC
442,Produto,limite,PER
442,Produto,Tentei,PER
443,Suporte,Tentei,PER
444,Produto,Tentei,PER
444,Produto,Precisei,LOC
446,Suporte,Tentei,PER
447,Suporte,Tentei,PER
448,Serviços,Tentei,PER
448,Serviços,platafroma,LOC
449,Serviços,Precisei,LOC
449,Serviços,naum msg,PER
450,Produto,Tentei,PER
451,Serviços,Precisei,LOC
452,Produto,dashboard,PER
452,Produto,Precisei,LOC
453,Suporte,Tentei,PER
454,Suporte,Tentei,PER
455,Suporte,Precisei,LOC
455,Suporte,Tentei,PER
456,Produto,Precisei,LOC
458,Produto,Precisei,LOC
458,Produto,cadastro,LOC
459,Suporte,Tentei,PER
460,Suporte,Tentei,PER
461,Produto,Precisei,LOC
462,Suporte,Precisei,LOC
462,Suporte,Tentei,PER
463,Produto,Tentei,PER
464,Suporte,Tentei,PER
466,Serviços,dashboard,PER
467,Serviços,vcs,PER
469,Suporte,Tentei,PER
470,Pós-venda,Normal,LOC
472,Serviços,Tentei,PER
475,Produto,Tentei,PER
475,Produto,Precisei,LOC
476,Serviços,Tentei,PER
477,Geral,demoro travano,PER
479,Serviços,Precisei,LOC
479,Serviços,Tentei,PER
480,Serviços,Precisei,LOC
481,Geral,Precisei,LOC
483,Produto,onboarding,PER
483,Produto,Precisei,LOC
483,Produto,Tentei,PER
485,Produto,Tentei,PER
486,Produto,Tentei,PER
486,Produto,Precisei,LOC
488,Serviços,Tentei,PER
488,Serviços,naum msg,PER
491,Serviços,Tentei,PER
491,Serviços,Precisei,LOC
492,Produto,Tentei,PER
492,Produto,ploblema travano,PER
493,Suporte,Precisei,LOC
494,Produto,Precisei,LOC
494,Produto,Tentei,PER
495,Suporte,Precisei,LOC
496,Geral,Tentei,PER
497,Suporte,Precisei,LOC
497,Suporte,Tentei,PER
497,Suporte,vcs sitema,PER
498,Geral,vcs,LOC
499,Produto,Precisei,LOC
500,Produto,Tentei,PER
500,Produto,travano vcs,PER
501,Serviços,Tentei,PER
502,Serviços,demoro,PER
503,Geral,Tentei,PER
504,Geral,Tentei,PER
504,Geral,Precisei,LOC
504,Geral,onboarding,MISC
506,Suporte,Precisei,LOC
506,Suporte,Tentei,PER
508,Geral,limite,PER
508,Geral,Precisei,LOC
509,Produto,Tentei,PER
510,Produto,Tentei,PER
511,Serviços,Precisei,LOC
512,Serviços,Tentei,PER
514,Suporte,Tentei,PER
517,Serviços,Precisei,LOC
519,Suporte,Precisei,LOC
519,Suporte,Tentei,PER
519,Suporte,vcs ploblema naum,PER
521,Geral,Precisei,LOC
523,Suporte,Normal,LOC
525,Geral,Precisei,LOC
526,Suporte,Tentei,PER
528,Pós-venda,Tentei,PER
530,Geral,Tentei,PER
530,Geral,Precisei,LOC
533,Geral,Tentei,PER
534,Suporte,Precisei,LOC
536,Geral,Precisei,LOC
536,Geral,ploblema,PER
538,Serviços,chat,PER
538,Serviços,Precisei,LOC
538,Serviços,ploblema,PER
539,Suporte,Precisei,LOC
539,Suporte,naum,LOC
540,Geral,Precisei,LOC
541,Suporte,Tentei,PER
545,Serviços,chat,PER
545,Serviços,Precisei,LOC
545,Serviços,Tentei,PER
546,Suporte,Precisei,LOC
546,Suporte,vcs qdo demoro,PER
547,Serviços,Precisei,LOC
550,Suporte,limite,PER
550,Suporte,vcs,PER
551,Produto,Tentei,PER
552,Suporte,Tentei,PER
552,Suporte,Precisei,LOC
554,Produto,Tentei,PER
555,Suporte,Precisei,LOC
555,Suporte,Tentei,PER
556,Produto,Tentei,PER
557,Suporte,Tentei,PER
557,Suporte,Precisei,LOC
559,Suporte,Regular,LOC
562,Geral,Precisei,LOC
562,Geral,platafroma,LOC
563,Suporte,Normal,LOC
564,Geral,Tentei,PER
564,Geral,Precisei,LOC
566,Produto,Precisei,LOC
567,Suporte,Tentei,PER
569,Geral,Ok,LOC
573,Serviços,Tentei,PER
573,Serviços,Precisei,LOC
574,Suporte,Tentei,PER
575,Pós-venda,Precisei,LOC
578,Produto,dashboard,LOC
579,Suporte,Precisei,LOC
579,Suporte,Tentei,PER
580,Serviços,Tentei,PER
580,Serviços,dashboard,PER
580,Serviços,dashboard,PER
585,Produto,Precisei,LOC
585,Produto,msg ploblema,MISC
586,Pós-venda,Tentei,PER
586,Pós-venda,Precisei,LOC
587,Produto,Tentei,PER
588,Geral,Precisei,LOC
588,Geral,ploblema,LOC
591,Produto,Precisei,LOC
592,Suporte,login,PER
592,Suporte,naum,PER
593,Serviços,Tentei,PER
593,Serviços,vcs ploblema,PER
594,Produto,Precisei,LOC
594,Produto,dashboard,PER
595,Pós-venda,Precisei,LOC
595,Pós-venda,ploblema,LOC
596,Produto,Precisei,LOC
598,Suporte,Tentei,PER
598,Suporte,dashboard,PER
600,Suporte,Tentei,PER
600,Suporte,Precisei,LOC
603,Suporte,Precisei,LOC
603,Suporte,Tentei,PER
604,Suporte,Precisei,LOC
607,Geral,Precisei,LOC
608,Produto,Precisei,LOC
608,Produto,Tentei,PER
609,Suporte,Precisei,LOC
609,Suporte,Tentei,PER
611,Serviços,Tentei,PER
612,Serviços,Tentei,PER
613,Produto,Precisei,LOC
613,Produto,Tentei,PER
615,Produto,Precisei,LOC
616,Suporte,Tentei,PER
616,Suporte,limite,PER
618,Produto,Tentei,PER
618,Produto,travano,PER
619,Suporte,dashboard,LOC
619,Suporte,vcs probelma,PER
620,Geral,vcs,PER
622,Pós-venda,Precisei,LOC
623,Suporte,Tentei,PER
623,Suporte,Precisei,LOC
625,Produto,cadastro,LOC
625,Produto,Tentei,PER
625,Produto,Precisei,LOC
626,Pós-venda,Tentei,PER
626,Pós-venda,Precisei,LOC
627,Suporte,Tentei,PER
627,Suporte,dashboard,PER
627,Suporte,travano,LOC
628,Suporte,dashboard,PER
629,Serviços,Tentei,PER
632,Pós-venda,Tentei,PER
634,Suporte,Precisei,LOC
637,Suporte,Tentei,PER
638,Produto,Tentei,PER
641,Suporte,Precisei,LOC
642,Pós-venda,Tentei,PER
643,Produto,Tentei,PER
646,Serviços,Precisei,LOC
647,Geral,Precisei,LOC
648,Serviços,Tentei,PER
648,Serviços,naum,LOC
649,Serviços,Precisei,LOC
649,Serviços,onboarding,MISC
650,Suporte,Tentei,PER
651,Serviços,Precisei,LOC
652,Suporte,Tentei,PER
652,Suporte,ploblema platafroma,PER
653,Produto,Precisei,LOC
654,Suporte,Tentei,PER
654,Suporte,limite,PER
657,Suporte,Precisei,LOC
658,Suporte,Tentei,PER
659,Produto,Precisei,LOC
663,Serviços,Tentei,PER
663,Serviços,cadastro,LOC
663,Serviços,Precisei,LOC
664,Serviços,Normal,LOC
665,Produto,Tentei,PER
665,Produto,dashboard,PER
666,Serviços,Tentei,PER
667,Geral,Tentei,PER
667,Geral,Precisei,LOC
671,Suporte,Tentei,PER
671,Suporte,travano probelma,PER
673,Suporte,Tentei,PER
674,Produto,Regular,LOC
677,Suporte,Tentei,PER
678,Serviços,Tentei,PER
679,Produto,Precisei,LOC
681,Serviços,Tentei,PER
682,Serviços,Tentei,PER
684,Serviços,Tentei,PER
684,Serviços,Precisei,LOC
686,Produto,Precisei,LOC
688,Suporte,Precisei,LOC
688,Suporte,Tentei,PER
689,Suporte,Normal,LOC
690,Produto,Tentei,PER
690,Produto,dashboard,PER
691,Produto,Precisei,LOC
692,Serviços,Tentei,PER
692,Serviços,Precisei,LOC
693,Geral,vcs,LOC
696,Geral,Tentei,PER
697,Produto,Tentei,PER
698,Serviços,Precisei,LOC
699,Serviços,Tentei,PER
700,Produto,Precisei,LOC
700,Produto,travano,LOC
701,Suporte,Tentei,PER
702,Serviços,chat,PER
702,Serviços,demoro travano,PER
703,Serviços,dashboard,PER
706,Produto,Precisei,LOC
707,Suporte,Precisei,LOC
707,Suporte,Tentei,PER
709,Suporte,Tentei,PER
711,Produto,Precisei,LOC
712,Produto,Precisei,LOC
713,Pós-venda,Precisei,LOC
715,Produto,Tentei,PER
715,Produto,Precisei,LOC
715,Produto,demoro platafroma vcs,PER
716,Geral,naum,LOC
717,Suporte,Normal,LOC
719,Serviços,Tentei,PER
720,Produto,Tentei,PER
720,Produto,dashboard,PER
721,Produto,login,PER
722,Produto,Tentei,PER
724,Suporte,Tentei,PER
724,Suporte,Precisei,LOC
725,Suporte,onboarding,PER
726,Pós-venda,Tentei,PER
727,Suporte,Tentei,PER
732,Produto,Precisei,LOC
733,Suporte,Tentei,PER
734,Geral,Precisei,LOC
734,Geral,Tentei,PER
736,Suporte,ploblema vcs,PER
740,Produto,naum,PER
741,Suporte,Precisei,LOC
741,Suporte,Tentei,PER
742,Suporte,Tentei,PER
744,Suporte,Precisei,LOC
744,Suporte,cadastro,LOC
747,Serviços,Tentei,PER
749,Serviços,Tentei,PER
749,Serviços,Precisei,LOC
749,Serviços,naum,LOC
750,Suporte,Tentei,PER
751,Geral,Tentei,PER
752,Suporte,travano,LOC
753,Pós-venda,Precisei,LOC
754,Suporte,Tentei,PER
755,Produto,Precisei,LOC
755,Produto,Tentei,PER
756,Serviços,Precisei,LOC
757,Suporte,Precisei,LOC
759,Suporte,Precisei,LOC
761,Suporte,Precisei,LOC
762,Serviços,Precisei,LOC
762,Serviços,onboarding,MISC
763,Geral,onboarding,PER
764,Suporte,Precisei,LOC
765,Pós-venda,Precisei,LOC
766,Produto,Precisei,LOC
766,Produto,Tentei,PER
766,Produto,demoro travano,PER
767,Geral,Precisei,LOC
768,Suporte,ploblema probelma,PER
769,Suporte,Tentei,PER
771,Serviços,Tentei,PER
771,Serviços,Precisei,LOC
771,Serviços,demoro probelma,PER
775,Serviços,dashboard,PER
776,Produto,Tentei,PER
778,Serviços,Tentei,PER
778,Serviços,onboarding,PER
779,Suporte,Tentei,LOC
779,Suporte,Precisei,LOC
780,Suporte,Tentei,PER
780,Suporte,Precisei,LOC
782,Suporte,Tentei,PER
783,Produto,Tentei,PER
784,Serviços,Precisei,LOC
784,Serviços,Tentei,PER
786,Serviços,Tentei,PER
787,Produto,Precisei,LOC
788,Suporte,Tentei,PER
788,Suporte,Precisei,LOC
789,Produto,Tentei,PER
789,Produto,naum,LOC
790,Suporte,Tentei,PER
790,Suporte,vcs probelma,PER
791,Suporte,Precisei,LOC
791,Suporte,Tentei,PER
793,Produto,Precisei,LOC
794,Serviços,demoro platafroma vcs,PER
796,Pós-venda,Precisei,LOC
796,Pós-venda,Tentei,PER
797,Suporte,Precisei,LOC
798,Suporte,demoro travano,PER
799,Suporte,Precisei,LOC
799,Suporte,naum,PER
800,Serviços,Precisei,LOC
802,Produto,naum,LOC
805,Suporte,Tentei,PER
805,Suporte,dashboard,PER
805,Suporte,Precisei,LOC
806,Suporte,Precisei,LOC
807,Pós-venda,Tentei,PER
807,Pós-venda,Precisei,LOC
808,Serviços,Normal,LOC
809,Geral,Precisei,LOC
810,Geral,Precisei,LOC
811,Geral,Precisei,LOC
811,Geral,Tentei,PER
816,Produto,vcs,LOC
817,Produto,Tentei,PER
817,Produto,naum probelma sitema,PER
818,Pós-venda,Precisei,LOC
818,Pós-venda,Tentei,PER
819,Suporte,Precisei,LOC
819,Suporte,limite,PER
820,Geral,Precisei,LOC
822,Suporte,Precisei,LOC
822,Suporte,naum,LOC
824,Serviços,Precisei,LOC
827,Suporte,Precisei,LOC
827,Suporte,Tentei,PER
827,Suporte,ploblema demoro,PER
828,Pós-venda,Tentei,PER
828,Pós-venda,vcs,PER
830,Serviços,dashboard,PER
830,Serviços,Tentei,PER
831,Produto,vcs,LOC
832,Suporte,Precisei,LOC
833,Produto,Tentei,PER
834,Suporte,Tentei,PER
834,Suporte,ploblema,LOC
835,Geral,chat,PER
835,Geral,Precisei,LOC
835,Geral,ploblema sitema,PER
837,Suporte,Precisei,LOC
839,Produto,Tentei,PER
841,Geral,dashboard,PER
841,Geral,Precisei,LOC
842,Pós-venda,Precisei,LOC
842,Pós-venda,Tentei,PER
844,Produto,Precisei,LOC
844,Produto,ploblema,LOC
845,Produto,Tentei,PER
845,Produto,naum platafroma,PER
846,Geral,Tentei,PER
847,Geral,Tentei,PER
848,Serviços,Tentei,PER
849,Produto,travano demoro sitema,PER
850,Suporte,Precisei,LOC
850,Suporte,Tentei,PER
851,Produto,Tentei,PER
851,Produto,naum msg,PER
852,Suporte,Regular,LOC
854,Geral,Tentei,PER
854,Geral,travano ploblema,PER
855,Suporte,Precisei,LOC
858,Geral,travano,PER
859,Suporte,Tentei,PER
859,Suporte,Precisei,LOC
859,Suporte,ploblema travano,PER
861,Serviços,Tentei,PER
861,Serviços,ploblema demoro,PER
862,Suporte,Precisei,LOC
862,Suporte,Tentei,PER
867,Produto,Tentei,PER
869,Produto,Tentei,PER
870,Serviços,Tentei,PER
871,Pós-venda,Precisei,LOC
873,Produto,Precisei,LOC
874,Produto,vcs platafroma,PER
875,Suporte,Tentei,PER
875,Suporte,Precisei,LOC
876,Serviços,Normal,LOC
877,Produto,Precisei,LOC
877,Produto,vcs,PER
878,Geral,Tentei,PER
878,Geral,vcs probelma,PER
879,Suporte,onboarding,PER
879,Suporte,Tentei,PER
880,Suporte,Tentei,PER
882,Suporte,Tentei,PER
882,Suporte,Precisei,LOC
884,Geral,onboarding,PER
887,Produto,Precisei,LOC
888,Serviços,Tentei,PER
890,Serviços,travano,LOC
891,Serviços,onboarding,MISC
893,Serviços,Precisei,LOC
893,Serviços,Tentei,PER
896,Produto,Tentei,PER
896,Produto,vcs,PER
897,Suporte,Tentei,PER
898,Suporte,Precisei,LOC
898,Suporte,Tentei,PER
899,Geral,Normal,LOC
901,Suporte,Precisei,LOC
903,Geral,Precisei,LOC
904,Produto,Precisei,LOC
905,Suporte,Precisei,LOC
906,Produto,Tentei,PER
906,Produto,Precisei,LOC
907,Produto,Precisei,LOC
907,Produto,onboarding,MISC
907,Produto,Tentei,PER
908,Produto,Tentei,PER
910,Geral,Precisei,LOC
910,Geral,Tentei,PER
912,Pós-venda,Tentei,PER
912,Pós-venda,Precisei,LOC
913,Pós-venda,ploblema,PER
914,Geral,Tentei,PER
915,Produto,Tentei,PER
915,Produto,travano demoro,PER
917,Produto,Tentei,PER
921,Suporte,Tentei,PER
922,Pós-venda,Tentei,PER
922,Pós-venda,naum,LOC
923,Suporte,Tentei,PER
923,Suporte,Precisei,LOC
924,Suporte,Tentei,PER
924,Suporte,Precisei,LOC
925,Geral,Precisei,LOC
926,Produto,onboarding,PER
926,Produto,Precisei,LOC
927,Produto,Precisei,LOC
928,Suporte,Ok,LOC
929,Serviços,Tentei,PER
929,Serviços,probelma ploblema,PER
930,Produto,Tentei,PER
931,Serviços,dashboard,PER
