comentario,nota,responsavel
"Depois da atualização performance ficou mais simples. As notificações chegaram atrasadas. Consegui baixar relatório, mas depois apareceu erro em chat. sitema atendimnto bugou",3,Serviços
"O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava consultar saldo. Consegui consultar saldo, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. As notificações chegaram atrasadas.",0,Produto
O carregamento dos relatórios demorou. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e notificações travou duas vezes. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,2,Suporte
"Tentei acompanhar pagamento e limite travou duas vezes. limite demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em usabilidade. ploblema sitema",3,Pós-venda
"Consegui acompanhar pagamento, mas depois apareceu erro em API. Tentei acompanhar pagamento e limite travou duas vezes. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. demoro",8,Serviços
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência.,8,Produto
Recebi erro enquanto tentava consultar saldo. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. chat demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. msg travano,1,Suporte
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Depois da atualização integração ficou mais simples.,7,Serviços
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.,5,Suporte
Mais ou menos.,8,Geral
Recebi erro enquanto tentava atualizar cadastro. O carregamento dos relatórios demorou. demoro probelma,10,Suporte
Tentei baixar relatório e onboarding travou duas vezes. Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas. Depois da atualização onboarding ficou mais simples. atendimnto,3,Serviços
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei baixar relatório e API travou duas vezes. Depois da atualização API ficou mais simples. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório.,10,Serviços
O atendimento resolveu rápido a solicitação. Tentei consultar saldo e cartão virtual travou duas vezes. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo.,9,Geral
"usabilidade demorou para responder. Consegui consultar limite, mas depois apareceu erro em onboarding. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar limite. O carregamento dos relatórios demorou. atendimnto sitema probelma",5,Serviços
"Consegui baixar relatório, mas depois apareceu erro em onboarding. Depois da atualização login ficou mais simples. O atendimento resolveu rápido a solicitação. probelma",1,Suporte
O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,3,Suporte
Recebi erro enquanto tentava atualizar cadastro. As notificações chegaram atrasadas. sitema demoro,0,Produto
As notificações chegaram atrasadas. Tentei atualizar cadastro e chat travou duas vezes.,1,Pós-venda
As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. bugou,10,Geral
"O carregamento dos relatórios demorou. cartão virtual demorou para responder. Consegui consultar limite, mas depois apareceu erro em extrato. Depois da atualização cartão virtual ficou mais simples.",8,Geral
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em cartão virtual. As notificações chegaram atrasadas. Depois da atualização pagamentos ficou mais simples.",2,Produto
Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. travano,7,Serviços
Recebi erro enquanto tentava baixar relatório. Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir.,3,Suporte
"As notificações chegaram atrasadas. Consegui consultar saldo, mas depois apareceu erro em performance. naum platafroma qdo",6,Produto
Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. O suporte pediu novamente as mesmas informações.,1,Produto
"Depois da atualização integração ficou mais simples. Consegui atualizar cadastro, mas depois apareceu erro em notificações. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei atualizar cadastro e integração travou duas vezes. integração demorou para responder. atendimnto naum",7,Suporte
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. sitema qdo,2,Suporte
"As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. Tentei consultar saldo e integração travou duas vezes. integração demorou para responder. Precisei repetir algumas etapas para concluir. Consegui consultar saldo, mas depois apareceu erro em chat.",6,Suporte
"Consegui acompanhar pagamento, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Tentei acompanhar pagamento e performance travou duas vezes. travano sitema msg",6,Pós-venda
"Precisei repetir algumas etapas para concluir. Tentei consultar limite e relatórios travou duas vezes. Recebi erro enquanto tentava consultar limite. O atendimento resolveu rápido a solicitação. Consegui consultar limite, mas depois apareceu erro em login. Depois da atualização relatórios ficou mais simples.",2,Geral
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. notificações demorou para responder.,4,Suporte
Achei estranho.,8,Produto
"Consegui consultar saldo, mas depois apareceu erro em login. Tentei consultar saldo e cadastro travou duas vezes. cadastro demorou para responder. travano vcs",1,Suporte
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava integrar sistema. pagamentos demorou para responder.,3,Produto
"Consegui consultar limite, mas depois apareceu erro em cadastro. Recebi erro enquanto tentava consultar limite. Precisei repetir algumas etapas para concluir. Tentei consultar limite e chat travou duas vezes. O atendimento resolveu rápido a solicitação.",0,Suporte
O carregamento dos relatórios demorou. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Tentei consultar saldo e integração travou duas vezes.,9,Geral
dashboard demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,6,Produto
"Consegui atualizar cadastro, mas depois apareceu erro em cartão virtual. Recebi erro enquanto tentava atualizar cadastro. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. demoro bugou",8,Suporte
Achei estranho.,5,Serviços
O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei atualizar cadastro e pagamentos travou duas vezes. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava atualizar cadastro. Depois da atualização pagamentos ficou mais simples. platafroma naum,3,Suporte
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em usabilidade.",7,Serviços
"O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Depois da atualização limite ficou mais simples. Consegui integrar sistema, mas depois apareceu erro em relatórios. probelma vcs",10,Suporte
"Consegui fazer transferência, mas depois apareceu erro em integração. Depois da atualização relatórios ficou mais simples. O suporte pediu novamente as mesmas informações.",5,Serviços
"Consegui acompanhar pagamento, mas depois apareceu erro em onboarding. O atendimento resolveu rápido a solicitação. dashboard demorou para responder. Depois da atualização dashboard ficou mais simples. msg ploblema qdo",8,Pós-venda
Tentei baixar relatório e API travou duas vezes. O suporte pediu novamente as mesmas informações.,8,Pós-venda
Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas.,2,Produto
Sem comentários.,10,Produto
Nada a declarar.,4,Geral
"As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. O carregamento dos relatórios demorou. integração demorou para responder. O suporte pediu novamente as mesmas informações. Consegui acompanhar pagamento, mas depois apareceu erro em chat. qdo demoro vcs",6,Suporte
"Consegui emitir boleto, mas depois apareceu erro em cadastro. pagamentos demorou para responder. Recebi erro enquanto tentava emitir boleto. platafroma demoro",3,Pós-venda
"Consegui baixar relatório, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações.",0,Produto
"Consegui emitir boleto, mas depois apareceu erro em cartão virtual. notificações demorou para responder. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e notificações travou duas vezes. demoro bugou",10,Serviços
"O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Depois da atualização performance ficou mais simples. Consegui consultar limite, mas depois apareceu erro em pagamentos. sitema",7,Pós-venda
"Precisei repetir algumas etapas para concluir. Tentei consultar saldo e dashboard travou duas vezes. dashboard demorou para responder. Consegui consultar saldo, mas depois apareceu erro em notificações.",9,Serviços
Depois da atualização chat ficou mais simples. O atendimento resolveu rápido a solicitação.,4,Produto
"As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei baixar relatório e extrato travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em cartão virtual. atendimnto vcs",1,Produto
"Tentei baixar relatório e onboarding travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em login. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.",6,Pós-venda
"Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e API travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em pagamentos. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. naum",3,Serviços
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples.,3,Produto
O carregamento dos relatórios demorou. limite demorou para responder. As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O suporte pediu novamente as mesmas informações.,4,Suporte
O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Tentei consultar limite e integração travou duas vezes. integração demorou para responder.,1,Geral
O carregamento dos relatórios demorou. Depois da atualização limite ficou mais simples. O atendimento resolveu rápido a solicitação. limite demorou para responder. O suporte pediu novamente as mesmas informações.,9,Geral
As notificações chegaram atrasadas. Tentei consultar limite e performance travou duas vezes. O atendimento resolveu rápido a solicitação.,5,Produto
Tentei fazer transferência e cadastro travou duas vezes. cadastro demorou para responder. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,6,Serviços
login demorou para responder. Recebi erro enquanto tentava fazer transferência. Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. sitema travano vcs,8,Produto
"Tentei baixar relatório e cartão virtual travou duas vezes. Recebi erro enquanto tentava baixar relatório. Consegui baixar relatório, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. cartão virtual demorou para responder.",10,Geral
integração demorou para responder. O suporte pediu novamente as mesmas informações. Tentei emitir boleto e integração travou duas vezes. Depois da atualização integração ficou mais simples. Precisei repetir algumas etapas para concluir.,6,Serviços
"notificações demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Tentei consultar limite e notificações travou duas vezes. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em relatórios.",5,Suporte
O suporte pediu novamente as mesmas informações. Tentei atualizar cadastro e limite travou duas vezes. Depois da atualização limite ficou mais simples. limite demorou para responder. O atendimento resolveu rápido a solicitação.,9,Suporte
"Depois da atualização pagamentos ficou mais simples. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em cadastro. Precisei repetir algumas etapas para concluir.",5,Suporte
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. bugou qdo demoro,6,Suporte
"Consegui integrar sistema, mas depois apareceu erro em chat. O suporte pediu novamente as mesmas informações. notificações demorou para responder.",4,Serviços
Sem opinião.,10,Geral
"dashboard demorou para responder. Consegui integrar sistema, mas depois apareceu erro em pagamentos. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.",5,Suporte
"O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava atualizar cadastro. Consegui atualizar cadastro, mas depois apareceu erro em API. Tentei atualizar cadastro e onboarding travou duas vezes. travano",8,Produto
As notificações chegaram atrasadas. Tentei integrar sistema e integração travou duas vezes. platafroma,6,Serviços
"Consegui integrar sistema, mas depois apareceu erro em onboarding. Depois da atualização cartão virtual ficou mais simples. atendimnto demoro probelma",10,Produto
Recebi erro enquanto tentava atualizar cadastro. usabilidade demorou para responder. Tentei atualizar cadastro e usabilidade travou duas vezes. Depois da atualização usabilidade ficou mais simples. O carregamento dos relatórios demorou.,10,Serviços
"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. API demorou para responder. Consegui baixar relatório, mas depois apareceu erro em cartão virtual.",3,Suporte
"Depois da atualização pagamentos ficou mais simples. Precisei repetir algumas etapas para concluir. Consegui integrar sistema, mas depois apareceu erro em login.",9,Geral
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. platafroma,10,Suporte
"Consegui consultar saldo, mas depois apareceu erro em login. chat demorou para responder. Precisei repetir algumas etapas para concluir. Tentei consultar saldo e chat travou duas vezes.",3,Suporte
Precisei repetir algumas etapas para concluir. Tentei integrar sistema e onboarding travou duas vezes. O suporte pediu novamente as mesmas informações.,9,Produto
integração demorou para responder. Tentei emitir boleto e integração travou duas vezes. demoro,2,Suporte
"Recebi erro enquanto tentava consultar limite. Precisei repetir algumas etapas para concluir. Depois da atualização API ficou mais simples. Consegui consultar limite, mas depois apareceu erro em performance. API demorou para responder. O suporte pediu novamente as mesmas informações.",2,Produto
"Tentei atualizar cadastro e login travou duas vezes. Precisei repetir algumas etapas para concluir. Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. Consegui atualizar cadastro, mas depois apareceu erro em performance.",3,Produto
Normal.,7,Suporte
Regular.,2,Produto
O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Recebi erro enquanto tentava atualizar cadastro. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. travano naum probelma,9,Serviços
Recebi erro enquanto tentava consultar limite. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. onboarding demorou para responder. O carregamento dos relatórios demorou. travano,3,Produto
Normal.,1,Pós-venda
"Tentei fazer transferência e extrato travou duas vezes. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Depois da atualização extrato ficou mais simples. Precisei repetir algumas etapas para concluir. Consegui fazer transferência, mas depois apareceu erro em integração. sitema qdo ploblema",1,Suporte
"Consegui fazer transferência, mas depois apareceu erro em notificações. Recebi erro enquanto tentava fazer transferência. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. demoro probelma",5,Serviços
O suporte pediu novamente as mesmas informações. Tentei consultar saldo e onboarding travou duas vezes. onboarding demorou para responder. Depois da atualização onboarding ficou mais simples. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas.,8,Geral
chat demorou para responder. Tentei consultar limite e chat travou duas vezes. probelma sitema travano,2,Produto
performance demorou para responder. Precisei repetir algumas etapas para concluir.,2,Produto
Depois da atualização cadastro ficou mais simples. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava baixar relatório. Precisei repetir algumas etapas para concluir. Tentei baixar relatório e cadastro travou duas vezes. ploblema,1,Suporte
As notificações chegaram atrasadas. Tentei consultar saldo e cadastro travou duas vezes. O carregamento dos relatórios demorou. msg,9,Serviços
"login demorou para responder. As notificações chegaram atrasadas. Consegui consultar limite, mas depois apareceu erro em limite.",4,Serviços
Ok.,5,Geral
"As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. Tentei consultar limite e onboarding travou duas vezes. Consegui consultar limite, mas depois apareceu erro em extrato. O carregamento dos relatórios demorou.",7,Produto
"Recebi erro enquanto tentava emitir boleto. Consegui emitir boleto, mas depois apareceu erro em extrato. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.",9,Suporte
O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência.,4,Produto
Recebi erro enquanto tentava fazer transferência. onboarding demorou para responder. O suporte pediu novamente as mesmas informações. msg travano vcs,5,Suporte
"Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Recebi erro enquanto tentava baixar relatório. Consegui baixar relatório, mas depois apareceu erro em chat. Tentei baixar relatório e integração travou duas vezes.",10,Suporte
Depois da atualização extrato ficou mais simples. Precisei repetir algumas etapas para concluir. Tentei emitir boleto e extrato travou duas vezes. O carregamento dos relatórios demorou. vcs travano,4,Serviços
O carregamento dos relatórios demorou. Tentei baixar relatório e relatórios travou duas vezes. Depois da atualização relatórios ficou mais simples. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava baixar relatório. naum msg,1,Geral
O carregamento dos relatórios demorou. usabilidade demorou para responder. platafroma bugou naum,7,Pós-venda
O atendimento resolveu rápido a solicitação. Tentei consultar limite e usabilidade travou duas vezes. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. usabilidade demorou para responder. sitema ploblema travano,2,Produto
Recebi erro enquanto tentava fazer transferência. chat demorou para responder. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou.,10,Serviços
As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. performance demorou para responder. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. sitema naum atendimnto,6,Serviços
"Consegui baixar relatório, mas depois apareceu erro em extrato. notificações demorou para responder. O carregamento dos relatórios demorou. naum",4,Suporte
Achei estranho.,8,Serviços
Precisei repetir algumas etapas para concluir. cartão virtual demorou para responder. Depois da atualização cartão virtual ficou mais simples. travano probelma,9,Geral
"O carregamento dos relatórios demorou. Consegui baixar relatório, mas depois apareceu erro em integração. O suporte pediu novamente as mesmas informações.",9,Pós-venda
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório.,3,Geral
O carregamento dos relatórios demorou. Recebi erro enquanto tentava baixar relatório. Precisei repetir algumas etapas para concluir. login demorou para responder. ploblema,2,Geral
"O atendimento resolveu rápido a solicitação. Tentei acompanhar pagamento e cartão virtual travou duas vezes. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Consegui acompanhar pagamento, mas depois apareceu erro em dashboard.",8,Produto
login demorou para responder. Precisei repetir algumas etapas para concluir. Tentei emitir boleto e login travou duas vezes. O carregamento dos relatórios demorou.,1,Suporte
Tentei consultar saldo e limite travou duas vezes. O suporte pediu novamente as mesmas informações. naum,2,Produto
O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava atualizar cadastro. Tentei atualizar cadastro e dashboard travou duas vezes. demoro platafroma vcs,9,Pós-venda
O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Tentei acompanhar pagamento e login travou duas vezes.,7,Suporte
O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir.,6,Suporte
Sem opinião.,8,Pós-venda
"Recebi erro enquanto tentava consultar saldo. O atendimento resolveu rápido a solicitação. Consegui consultar saldo, mas depois apareceu erro em performance. O carregamento dos relatórios demorou.",6,Suporte
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. extrato demorou para responder. As notificações chegaram atrasadas.,9,Suporte
"Tentei emitir boleto e integração travou duas vezes. O suporte pediu novamente as mesmas informações. Consegui emitir boleto, mas depois apareceu erro em API. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava emitir boleto.",7,Produto
"Tentei baixar relatório e onboarding travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações. onboarding demorou para responder.",4,Suporte
As notificações chegaram atrasadas. Depois da atualização dashboard ficou mais simples. Precisei repetir algumas etapas para concluir. dashboard demorou para responder. Recebi erro enquanto tentava integrar sistema.,10,Suporte
As notificações chegaram atrasadas. dashboard demorou para responder.,8,Produto
"As notificações chegaram atrasadas. pagamentos demorou para responder. Depois da atualização pagamentos ficou mais simples. O carregamento dos relatórios demorou. Consegui baixar relatório, mas depois apareceu erro em usabilidade. Tentei baixar relatório e pagamentos travou duas vezes.",1,Produto
As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação.,9,Geral
API demorou para responder. Recebi erro enquanto tentava baixar relatório. atendimnto bugou sitema,2,Serviços
Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava integrar sistema. cadastro demorou para responder. O suporte pediu novamente as mesmas informações. travano ploblema,0,Pós-venda
Sem comentários.,1,Suporte
"Consegui atualizar cadastro, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações. Depois da atualização dashboard ficou mais simples. Recebi erro enquanto tentava atualizar cadastro. Tentei atualizar cadastro e dashboard travou duas vezes. platafroma",6,Produto
Recebi erro enquanto tentava integrar sistema. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. integração demorou para responder.,7,Suporte
"Consegui acompanhar pagamento, mas depois apareceu erro em relatórios. extrato demorou para responder. qdo atendimnto",10,Serviços
O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas.,5,Produto
O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto. Depois da atualização cartão virtual ficou mais simples.,8,Serviços
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei fazer transferência e integração travou duas vezes.,2,Produto
O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava acompanhar pagamento. extrato demorou para responder. ploblema msg bugou,4,Produto
Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. Tentei fazer transferência e API travou duas vezes.,1,Serviços
Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Tentei atualizar cadastro e integração travou duas vezes.,0,Suporte
O suporte pediu novamente as mesmas informações. Depois da atualização pagamentos ficou mais simples. Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação. Tentei acompanhar pagamento e pagamentos travou duas vezes. platafroma bugou,4,Serviços
As notificações chegaram atrasadas. onboarding demorou para responder. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,9,Suporte
Tentei fazer transferência e limite travou duas vezes. O suporte pediu novamente as mesmas informações.,7,Suporte
"O atendimento resolveu rápido a solicitação. Consegui integrar sistema, mas depois apareceu erro em API. onboarding demorou para responder. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas.",6,Geral
Tudo certo.,0,Suporte
Depois da atualização extrato ficou mais simples. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. sitema,3,Produto
As notificações chegaram atrasadas. Tentei integrar sistema e integração travou duas vezes.,4,Suporte
"O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava baixar relatório. cartão virtual demorou para responder. Tentei baixar relatório e cartão virtual travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em relatórios. Depois da atualização cartão virtual ficou mais simples.",8,Suporte
Tentei consultar limite e notificações travou duas vezes. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Recebi erro enquanto tentava consultar limite. O atendimento resolveu rápido a solicitação. notificações demorou para responder.,5,Produto
O atendimento resolveu rápido a solicitação. relatórios demorou para responder. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou.,2,Produto
Tentei atualizar cadastro e performance travou duas vezes. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Depois da atualização performance ficou mais simples. Precisei repetir algumas etapas para concluir.,8,Produto
Sem opinião.,10,Serviços
Precisei repetir algumas etapas para concluir. Depois da atualização integração ficou mais simples. bugou demoro sitema,10,Suporte
Tentei emitir boleto e chat travou duas vezes. Depois da atualização chat ficou mais simples. O atendimento resolveu rápido a solicitação.,10,Suporte
integração demorou para responder. O carregamento dos relatórios demorou. travano platafroma,3,Produto
O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Depois da atualização limite ficou mais simples. Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. limite demorou para responder.,5,Produto
Depois da atualização performance ficou mais simples. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. performance demorou para responder. naum sitema travano,4,Suporte
Depois da atualização pagamentos ficou mais simples. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava emitir boleto. ploblema naum bugou,2,Geral
"Consegui consultar saldo, mas depois apareceu erro em usabilidade. Precisei repetir algumas etapas para concluir. Tentei consultar saldo e notificações travou duas vezes. Depois da atualização notificações ficou mais simples. O carregamento dos relatórios demorou. notificações demorou para responder.",9,Suporte
Mais ou menos.,2,Suporte
O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.,2,Pós-venda
