comentario,nota,responsavel
carreg relatori demor suport ped nov mesm informaco tent consult limit integraca trav duas vez integraca demor respond,1,Geral
carreg relatori demor atualizaca limit fic simpl atend resolv rap solicitaca limit demor respond suport ped nov mesm informaco,9,Geral
notificaco cheg atras tent consult limit performanc trav duas vez atend resolv rap solicitaca,5,Produto
tent faz transferenc cadastr trav duas vez cadastr demor respond atend resolv rap solicitaca notificaco cheg atras precis repet algum etap conclu,6,Serviços
login demor respond receb erro enquant tent faz transferenc atualizaca login fic simpl notificaco cheg atras precis repet algum etap conclu sitem travan vcs,8,Produto
tent baix relatori carta virtual trav duas vez receb erro enquant tent baix relatori consegu baix relatori aparec erro extrat atend resolv rap solicitaca notificaco cheg atras carta virtual demor respond,10,Geral
integraca demor respond suport ped nov mesm informaco tent emit bolet integraca trav duas vez atualizaca integraca fic simpl precis repet algum etap conclu,6,Serviços
notificaco demor respond precis repet algum etap conclu carreg relatori demor tent consult limit notificaco trav duas vez suport ped nov mesm informaco consegu consult limit aparec erro relatori,5,Suporte
suport ped nov mesm informaco tent atualiz cadastr limit trav duas vez atualizaca limit fic simpl limit demor respond atend resolv rap solicitaca,9,Suporte
atualizaca pagament fic simpl suport ped nov mesm informaco consegu consult limit aparec erro cadastr precis repet algum etap conclu,5,Suporte
notificaco cheg atras suport ped nov mesm informaco bug qdo demor,6,Suporte
consegu integr aparec erro chat suport ped nov mesm informaco notificaco demor respond,4,Serviços
dashboard demor respond consegu integr aparec erro pagament precis repet algum etap conclu notificaco cheg atras suport ped nov mesm informaco,5,Suporte
suport ped nov mesm informaco atend resolv rap solicitaca receb erro enquant tent atualiz cadastr consegu atualiz cadastr aparec erro api tent atualiz cadastr onboarding trav duas vez travan,8,Produto
notificaco cheg atras tent integr integraca trav duas vez platafrom,6,Serviços
consegu integr aparec erro onboarding atualizaca carta virtual fic simpl atendimnt demor probelm,10,Produto
receb erro enquant tent atualiz cadastr usabil demor respond tent atualiz cadastr usabil trav duas vez atualizaca usabil fic simpl carreg relatori demor,10,Serviços
carreg relatori demor notificaco cheg atras api demor respond consegu baix relatori aparec erro carta virtual,3,Suporte
atualizaca pagament fic simpl precis repet algum etap conclu consegu integr aparec erro login,9,Geral
notificaco cheg atras suport ped nov mesm informaco platafrom,10,Suporte
consegu consult sald aparec erro login chat demor respond precis repet algum etap conclu tent consult sald chat trav duas vez,3,Suporte
precis repet algum etap conclu tent integr onboarding trav duas vez suport ped nov mesm informaco,9,Produto
integraca demor respond tent emit bolet integraca trav duas vez demor,2,Suporte
receb erro enquant tent consult limit precis repet algum etap conclu atualizaca api fic simpl consegu consult limit aparec erro performanc api demor respond suport ped nov mesm informaco,2,Produto
tent atualiz cadastr login trav duas vez precis repet algum etap conclu atualizaca login fic simpl notificaco cheg atras consegu atualiz cadastr aparec erro performanc,3,Produto
carreg relatori demor notificaco cheg atras receb erro enquant tent atualiz cadastr precis repet algum etap conclu atend resolv rap solicitaca travan naum probelm,9,Serviços
receb erro enquant tent consult limit atend resolv rap solicitaca notificaco cheg atras onboarding demor respond carreg relatori demor travan,3,Produto
tent faz transferenc extrat trav duas vez carreg relatori demor atend resolv rap solicitaca atualizaca extrat fic simpl precis repet algum etap conclu consegu faz transferenc aparec erro integraca sitem qdo ploblem,1,Suporte
consegu faz transferenc aparec erro notificaco receb erro enquant tent faz transferenc atend resolv rap solicitaca notificaco cheg atras suport ped nov mesm informaco demor probelm,5,Serviços
suport ped nov mesm informaco tent consult sald onboarding trav duas vez onboarding demor respond atualizaca onboarding fic simpl atend resolv rap solicitaca notificaco cheg atras,8,Geral
chat demor respond tent consult limit chat trav duas vez probelm sitem travan,2,Produto
performanc demor respond precis repet algum etap conclu,2,Produto
atualizaca cadastr fic simpl notificaco cheg atras suport ped nov mesm informaco receb erro enquant tent baix relatori precis repet algum etap conclu tent baix relatori cadastr trav duas vez ploblem,1,Suporte
notificaco cheg atras tent consult sald cadastr trav duas vez carreg relatori demor msg,9,Serviços
login demor respond notificaco cheg atras consegu consult limit aparec erro limit,4,Serviços
notificaco cheg atras precis repet algum etap conclu suport ped nov mesm informaco tent consult limit onboarding trav duas vez consegu consult limit aparec erro extrat carreg relatori demor,7,Produto
receb erro enquant tent emit bolet consegu emit bolet aparec erro extrat notificaco cheg atras suport ped nov mesm informaco carreg relatori demor,9,Suporte
carreg relatori demor receb erro enquant tent faz transferenc,4,Produto
receb erro enquant tent faz transferenc onboarding demor respond suport ped nov mesm informaco msg travan vcs,5,Suporte
precis repet algum etap conclu atend resolv rap solicitaca carreg relatori demor receb erro enquant tent baix relatori consegu baix relatori aparec erro chat tent baix relatori integraca trav duas vez,10,Suporte
atualizaca extrat fic simpl precis repet algum etap conclu tent emit bolet extrat trav duas vez carreg relatori demor vcs travan,4,Serviços
carreg relatori demor tent baix relatori relatori trav duas vez atualizaca relatori fic simpl notificaco cheg atras suport ped nov mesm informaco receb erro enquant tent baix relatori naum msg,1,Geral
carreg relatori demor usabil demor respond platafrom bug naum,7,Pós-venda
atend resolv rap solicitaca tent consult limit usabil trav duas vez precis repet algum etap conclu carreg relatori demor usabil demor respond sitem ploblem travan,2,Produto
receb erro enquant tent faz transferenc chat demor respond atend resolv rap solicitaca carreg relatori demor,10,Serviços
notificaco cheg atras atend resolv rap solicitaca performanc demor respond carreg relatori demor precis repet algum etap conclu suport ped nov mesm informaco sitem naum atendimnt,6,Serviços
consegu baix relatori aparec erro extrat notificaco demor respond carreg relatori demor naum,4,Suporte
precis repet algum etap conclu carta virtual demor respond atualizaca carta virtual fic simpl travan probelm,9,Geral
carreg relatori demor consegu baix relatori aparec erro integraca suport ped nov mesm informaco,9,Pós-venda
notificaco cheg atras carreg relatori demor precis repet algum etap conclu receb erro enquant tent baix relatori,3,Geral
carreg relatori demor receb erro enquant tent baix relatori precis repet algum etap conclu login demor respond ploblem,2,Geral
atend resolv rap solicitaca tent acompanh pagament carta virtual trav duas vez notificaco cheg atras carreg relatori demor consegu acompanh pagament aparec erro dashboard,8,Produto
login demor respond precis repet algum etap conclu tent emit bolet login trav duas vez carreg relatori demor,1,Suporte
tent consult sald limit trav duas vez suport ped nov mesm informaco naum,2,Produto
suport ped nov mesm informaco receb erro enquant tent atualiz cadastr tent atualiz cadastr dashboard trav duas vez demor platafrom vcs,9,Pós-venda
suport ped nov mesm informaco notificaco cheg atras tent acompanh pagament login trav duas vez,7,Suporte
carreg relatori demor precis repet algum etap conclu,6,Suporte
receb erro enquant tent consult sald atend resolv rap solicitaca consegu consult sald aparec erro performanc carreg relatori demor,6,Suporte
carreg relatori demor atend resolv rap solicitaca extrat demor respond notificaco cheg atras,9,Suporte
tent emit bolet integraca trav duas vez suport ped nov mesm informaco consegu emit bolet aparec erro api precis repet algum etap conclu receb erro enquant tent emit bolet,7,Produto
tent baix relatori onboarding trav duas vez consegu baix relatori aparec erro relatori suport ped nov mesm informaco onboarding demor respond,4,Suporte
notificaco cheg atras atualizaca dashboard fic simpl precis repet algum etap conclu dashboard demor respond receb erro enquant tent integr,10,Suporte
notificaco cheg atras dashboard demor respond,8,Produto
notificaco cheg atras pagament demor respond atualizaca pagament fic simpl carreg relatori demor consegu baix relatori aparec erro usabil tent baix relatori pagament trav duas vez,1,Produto
notificaco cheg atras atend resolv rap solicitaca,9,Geral
api demor respond receb erro enquant tent baix relatori atendimnt bug sitem,2,Serviços
atualizaca cadastr fic simpl receb erro enquant tent integr cadastr demor respond suport ped nov mesm informaco travan ploblem,0,Pós-venda
consegu atualiz cadastr aparec erro pagament suport ped nov mesm informaco atualizaca dashboard fic simpl receb erro enquant tent atualiz cadastr tent atualiz cadastr dashboard trav duas vez platafrom,6,Produto
receb erro enquant tent integr carreg relatori demor suport ped nov mesm informaco integraca demor respond,7,Suporte
consegu acompanh pagament aparec erro relatori extrat demor respond qdo atendimnt,10,Serviços
suport ped nov mesm informaco notificaco cheg atras,5,Produto
atend resolv rap solicitaca receb erro enquant tent emit bolet atualizaca carta virtual fic simpl,8,Serviços
notificaco cheg atras carreg relatori demor tent faz transferenc integraca trav duas vez,2,Produto
carreg relatori demor suport ped nov mesm informaco receb erro enquant tent acompanh pagament extrat demor respond ploblem msg bug,4,Produto
precis repet algum etap conclu atend resolv rap solicitaca tent faz transferenc api trav duas vez,1,Serviços
precis repet algum etap conclu notificaco cheg atras tent atualiz cadastr integraca trav duas vez,0,Suporte
suport ped nov mesm informaco atualizaca pagament fic simpl receb erro enquant tent acompanh pagament atend resolv rap solicitaca tent acompanh pagament pagament trav duas vez platafrom bug,4,Serviços
notificaco cheg atras onboarding demor respond atend resolv rap solicitaca suport ped nov mesm informaco,9,Suporte
tent faz transferenc limit trav duas vez suport ped nov mesm informaco,7,Suporte
atend resolv rap solicitaca consegu integr aparec erro api onboarding demor respond carreg relatori demor suport ped nov mesm informaco notificaco cheg atras,6,Geral
atualizaca extrat fic simpl precis repet algum etap conclu suport ped nov mesm informaco carreg relatori demor sitem,3,Produto
notificaco cheg atras tent integr integraca trav duas vez,4,Suporte
suport ped nov mesm informaco receb erro enquant tent baix relatori carta virtual demor respond tent baix relatori carta virtual trav duas vez consegu baix relatori aparec erro relatori atualizaca carta virtual fic simpl,8,Suporte
tent consult limit notificaco trav duas vez precis repet algum etap conclu carreg relatori demor receb erro enquant tent consult limit atend resolv rap solicitaca notificaco demor respond,5,Produto
atend resolv rap solicitaca relatori demor respond notificaco cheg atras suport ped nov mesm informaco precis repet algum etap conclu carreg relatori demor,2,Produto
tent atualiz cadastr performanc trav duas vez atend resolv rap solicitaca carreg relatori demor atualizaca performanc fic simpl precis repet algum etap conclu,8,Produto
precis repet algum etap conclu atualizaca integraca fic simpl bug demor sitem,10,Suporte
tent emit bolet chat trav duas vez atualizaca chat fic simpl atend resolv rap solicitaca,10,Suporte
integraca demor respond carreg relatori demor travan platafrom,3,Produto
atend resolv rap solicitaca suport ped nov mesm informaco atualizaca limit fic simpl receb erro enquant tent integr notificaco cheg atras limit demor respond,5,Produto
atualizaca performanc fic simpl atend resolv rap solicitaca suport ped nov mesm informaco performanc demor respond naum sitem travan,4,Suporte
atualizaca pagament fic simpl suport ped nov mesm informaco precis repet algum etap conclu receb erro enquant tent emit bolet ploblem naum bug,2,Geral
consegu consult sald aparec erro usabil precis repet algum etap conclu tent consult sald notificaco trav duas vez atualizaca notificaco fic simpl carreg relatori demor notificaco demor respond,9,Suporte
suport ped nov mesm informaco atend resolv rap solicitaca precis repet algum etap conclu,2,Pós-venda
notificaco cheg atras notificaco demor respond tent consult sald notificaco trav duas vez,1,Geral
tent atualiz cadastr performanc trav duas vez suport ped nov mesm informaco,7,Produto
carreg relatori demor atualizaca cadastr fic simpl suport ped nov mesm informaco atendimnt,5,Suporte
suport ped nov mesm informaco consegu consult sald aparec erro api performanc demor respond precis repet algum etap conclu,7,Suporte
dashboard demor respond atualizaca dashboard fic simpl atend resolv rap solicitaca,6,Geral
precis repet algum etap conclu tent integr integraca trav duas vez suport ped nov mesm informaco atend resolv rap solicitaca qdo,6,Suporte
suport ped nov mesm informaco atend resolv rap solicitaca,7,Serviços
carreg relatori demor atualizaca limit fic simpl consegu integr aparec erro performanc notificaco cheg atras receb erro enquant tent integr,2,Suporte
precis repet algum etap conclu receb erro enquant tent integr naum probelm demor,1,Serviços
precis repet algum etap conclu atualizaca relatori fic simpl receb erro enquant tent emit bolet,2,Produto
tent baix relatori relatori trav duas vez carreg relatori demor atualizaca relatori fic simpl atend resolv rap solicitaca relatori demor respond precis repet algum etap conclu bug,0,Produto
suport ped nov mesm informaco notificaco cheg atras travan,8,Serviços
notificaco cheg atras receb erro enquant tent baix relatori extrat demor respond atend resolv rap solicitaca atualizaca extrat fic simpl sitem naum msg,10,Pós-venda
carreg relatori demor notificaco cheg atras precis repet algum etap conclu atualizaca integraca fic simpl receb erro enquant tent atualiz cadastr msg ploblem,3,Serviços
precis repet algum etap conclu tent consult sald dashboard trav duas vez consegu consult sald aparec erro usabil atend resolv rap solicitaca carreg relatori demor,0,Serviços
suport ped nov mesm informaco consegu faz transferenc aparec erro login atend resolv rap solicitaca precis repet algum etap conclu notificaco cheg atras integraca demor respond travan,3,Suporte
carreg relatori demor atualizaca login fic simpl tent faz transferenc login trav duas vez login demor respond atend resolv rap solicitaca,6,Produto
carta virtual demor respond carreg relatori demor atualizaca carta virtual fic simpl receb erro enquant tent atualiz cadastr notificaco cheg atras msg platafrom qdo,5,Geral
consegu acompanh pagament aparec erro carta virtual atend resolv rap solicitaca receb erro enquant tent acompanh pagament precis repet algum etap conclu,6,Produto
atend resolv rap solicitaca suport ped nov mesm informaco tent baix relatori relatori trav duas vez bug,9,Suporte
consegu acompanh pagament aparec erro chat carreg relatori demor atend resolv rap solicitaca notificaco cheg atras performanc demor respond travan atendimnt ploblem,7,Suporte
consegu baix relatori aparec erro dashboard atend resolv rap solicitaca carreg relatori demor precis repet algum etap conclu bug,8,Suporte
chat demor respond consegu consult limit aparec erro usabil atend resolv rap solicitaca receb erro enquant tent consult limit platafrom,4,Suporte
atualizaca integraca fic simpl integraca demor respond atend resolv rap solicitaca receb erro enquant tent baix relatori notificaco cheg atras,10,Produto
tent consult sald login trav duas vez precis repet algum etap conclu,8,Produto
tent baix relatori login trav duas vez precis repet algum etap conclu notificaco cheg atras carreg relatori demor atualizaca login fic simpl,8,Suporte
consegu faz transferenc aparec erro relatori carreg relatori demor suport ped nov mesm informaco,2,Geral
receb erro enquant tent emit bolet notificaco cheg atras platafrom qdo travan,3,Produto
receb erro enquant tent integr carreg relatori demor tent integr carta virtual trav duas vez precis repet algum etap conclu notificaco cheg atras suport ped nov mesm informaco,1,Serviços
atend resolv rap solicitaca tent consult sald pagament trav duas vez consegu consult sald aparec erro relatori,1,Suporte
notificaco cheg atras carreg relatori demor atend resolv rap solicitaca consegu acompanh pagament aparec erro api atualizaca pagament fic simpl receb erro enquant tent acompanh pagament,6,Serviços
consegu emit bolet aparec erro login receb erro enquant tent emit bolet atend resolv rap solicitaca suport ped nov mesm informaco notificaco cheg atras,1,Serviços
extrat demor respond notificaco cheg atras receb erro enquant tent consult limit carreg relatori demor suport ped nov mesm informaco bug,7,Geral
atend resolv rap solicitaca precis repet algum etap conclu receb erro enquant tent faz transferenc tent faz transferenc performanc trav duas vez notificaco cheg atras,4,Suporte
carreg relatori demor precis repet algum etap conclu notificaco cheg atras tent consult limit dashboard trav duas vez atualizaca dashboard fic simpl vcs demor travan,4,Produto
relatori demor respond precis repet algum etap conclu suport ped nov mesm informaco carreg relatori demor notificaco cheg atras,1,Produto
suport ped nov mesm informaco consegu emit bolet aparec erro limit atualizaca pagament fic simpl precis repet algum etap conclu,6,Suporte
atualizaca carta virtual fic simpl atend resolv rap solicitaca notificaco cheg atras precis repet algum etap conclu,2,Produto
atend resolv rap solicitaca extrat demor respond notificaco cheg atras carreg relatori demor atualizaca extrat fic simpl,9,Serviços
atend resolv rap solicitaca receb erro enquant tent atualiz cadastr consegu atualiz cadastr aparec erro carta virtual suport ped nov mesm informaco notificaco cheg atras qdo platafrom probelm,9,Serviços
dashboard demor respond suport ped nov mesm informaco consegu consult limit aparec erro onboarding precis repet algum etap conclu atend resolv rap solicitaca sitem vcs,4,Produto
tent consult limit carta virtual trav duas vez atend resolv rap solicitaca receb erro enquant tent consult limit precis repet algum etap conclu atualizaca carta virtual fic simpl carta virtual demor respond qdo demor sitem,9,Produto
suport ped nov mesm informaco consegu consult sald aparec erro dashboard,5,Pós-venda
atualizaca notificaco fic simpl carreg relatori demor notificaco demor respond precis repet algum etap conclu tent integr notificaco trav duas vez,9,Produto
atend resolv rap solicitaca atualizaca performanc fic simpl consegu integr aparec erro api suport ped nov mesm informaco,1,Suporte
tent emit bolet limit trav duas vez receb erro enquant tent emit bolet precis repet algum etap conclu notificaco cheg atras travan,7,Produto
notificaco cheg atras atualizaca relatori fic simpl consegu integr aparec erro api precis repet algum etap conclu carreg relatori demor receb erro enquant tent integr sitem bug qdo,3,Geral
consegu consult sald aparec erro usabil suport ped nov mesm informaco receb erro enquant tent consult sald,3,Serviços
suport ped nov mesm informaco atualizaca extrat fic simpl,8,Geral
atend resolv rap solicitaca atualizaca carta virtual fic simpl carta virtual demor respond notificaco cheg atras,9,Serviços
consegu integr aparec erro api suport ped nov mesm informaco bug msg,9,Geral
atualizaca chat fic simpl carreg relatori demor chat demor respond,6,Produto
tent consult sald onboarding trav duas vez atualizaca onboarding fic simpl onboarding demor respond receb erro enquant tent consult sald,2,Produto
atualizaca carta virtual fic simpl precis repet algum etap conclu carta virtual demor respond tent baix relatori carta virtual trav duas vez suport ped nov mesm informaco ploblem,8,Pós-venda
atualizaca api fic simpl carreg relatori demor receb erro enquant tent baix relatori suport ped nov mesm informaco tent baix relatori api trav duas vez api demor respond,3,Suporte
consegu baix relatori aparec erro login notificaco cheg atras receb erro enquant tent baix relatori atend resolv rap solicitaca carreg relatori demor atualizaca integraca fic simpl platafrom,5,Geral
precis repet algum etap conclu atend resolv rap solicitaca notificaco cheg atras probelm,1,Suporte
suport ped nov mesm informaco precis repet algum etap conclu carreg relatori demor notificaco cheg atras,0,Geral
suport ped nov mesm informaco integraca demor respond,1,Geral
onboarding demor respond suport ped nov mesm informaco notificaco cheg atras consegu consult limit aparec erro notificaco atualizaca onboarding fic simpl sitem,2,Suporte
atend resolv rap solicitaca tent baix relatori usabil trav duas vez receb erro enquant tent baix relatori precis repet algum etap conclu consegu baix relatori aparec erro extrat,4,Produto
atualizaca carta virtual fic simpl suport ped nov mesm informaco atend resolv rap solicitaca,1,Serviços
tent integr onboarding trav duas vez receb erro enquant tent integr,9,Produto
tent baix relatori onboarding trav duas vez notificaco cheg atras consegu baix relatori aparec erro api atend resolv rap solicitaca receb erro enquant tent baix relatori,0,Geral
suport ped nov mesm informaco consegu consult sald aparec erro api notificaco cheg atras atend resolv rap solicitaca tent consult sald cadastr trav duas vez,5,Suporte
receb erro enquant tent acompanh pagament precis repet algum etap conclu carreg relatori demor limit demor respond notificaco cheg atras,6,Geral
precis repet algum etap conclu tent emit bolet cadastr trav duas vez cadastr demor respond consegu emit bolet aparec erro api atualizaca cadastr fic simpl receb erro enquant tent emit bolet,2,Suporte
receb erro enquant tent acompanh pagament limit demor respond,6,Suporte
suport ped nov mesm informaco receb erro enquant tent faz transferenc consegu faz transferenc aparec erro extrat,6,Serviços
carreg relatori demor precis repet algum etap conclu consegu atualiz cadastr aparec erro login,9,Serviços
receb erro enquant tent baix relatori consegu baix relatori aparec erro notificaco atualizaca integraca fic simpl atend resolv rap solicitaca suport ped nov mesm informaco atendimnt,0,Suporte
carreg relatori demor onboarding demor respond atualizaca onboarding fic simpl notificaco cheg atras vcs qdo ploblem,2,Pós-venda
notificaco cheg atras precis repet algum etap conclu carreg relatori demor tent atualiz cadastr carta virtual trav duas vez atend resolv rap solicitaca suport ped nov mesm informaco,0,Suporte
atend resolv rap solicitaca notificaco cheg atras receb erro enquant tent faz transferenc relatori demor respond precis repet algum etap conclu consegu faz transferenc aparec erro notificaco,1,Suporte
precis repet algum etap conclu tent emit bolet usabil trav duas vez suport ped nov mesm informaco atend resolv rap solicitaca notificaco cheg atras,0,Geral
atend resolv rap solicitaca carreg relatori demor suport ped nov mesm informaco receb erro enquant tent faz transferenc performanc demor respond bug vcs,0,Suporte
